"Participant","Item","Gaze_Entropy","Gaze_Drift","Gaze_pLeft","Gaze_pCenter","Gaze_pTop","Gaze_nSamples"
"S002","10130.jpg",0.843919337652018,0.377410867248262,0.978723404255319,0.446808510638298,0.819148936170213,94
"S002","10224.jpg",0.810790898343273,0.386785764930755,0.96551724137931,0.387931034482759,0.810344827586207,116
"S002","10226.jpg",0.815543662635884,0.972853836820485,0.869158878504673,0.149532710280374,0.91588785046729,107
"S002","10514.jpg",0.821745313229571,0.308768076171487,0.831932773109244,0.394957983193277,0.932773109243697,119
"S002","10601.jpg",0.904952129633413,0.214184509714245,0.932773109243697,0.0588235294117647,1,119
"S002","10609.jpg",0.72914798404349,0.348195947042687,0.916666666666667,0.125,0.958333333333333,72
"S002","11014.jpg",0.773190213750636,0.140246190482705,1,0.064,1,125
"S002","11016.jpg",0.880021278371082,0.378432203979681,0.771929824561403,0,1,114
"S002","11126.jpg",0.835358437610951,0.189962465839709,0.914893617021277,0.0638297872340425,1,94
"S002","21022.jpg",0.737550012380116,0.0949730293973317,1,0.0236220472440945,1,127
"S002","30201.jpg",0.782213986510916,0.338266193626496,0.803030303030303,0.265151515151515,0.992424242424242,132
"S002","30215.jpg",0.801122358176146,0.263296070004268,0.945205479452055,0.0684931506849315,1,73
"S002","30622.jpg",0.734116201548967,0.235926513616434,1,0.0263157894736842,1,38
"S002","40224.jpg",0.827087280015985,0.394756225690177,0.884210526315789,0.505263157894737,0.273684210526316,95
"S002","40229.jpg",0.770600074026494,0.464657986160677,1,0.214285714285714,0.392857142857143,28
"S002","40716.jpg",0.785753866928423,0.225070357999986,1,0.0792079207920792,0.455445544554455,101
"S002","41004.jpg",0.786544244163036,0.152572260996526,1,0.163265306122449,0.683673469387755,98
"S002","51003.jpg",0.844745387632107,0.0779023267137816,1,0,0,74
"S002","51323.jpg",0.867689641144806,0.272991172213308,0.965811965811966,0.333333333333333,0.11965811965812,117
"S002","51326.jpg",0.850566176107712,0.0330726314482764,0.928571428571429,0.151785714285714,0.00892857142857143,112
"S002","51328.jpg",0.695454160354047,0.336243091746589,0.98780487804878,0.0609756097560976,0.0121951219512195,82
"S003","10130.jpg",0.779215846895891,0.331520900999333,0.25,0.12037037037037,0.925925925925926,108
"S003","10224.jpg",0.89426211123499,0.23495389390779,0.439393939393939,0.136363636363636,1,132
"S003","10226.jpg",0.895723008410169,0.552702619618081,0.660550458715596,0.293577981651376,0.963302752293578,109
"S003","10229.jpg",0.826314660210397,0.605181357600856,0.729508196721312,0.409836065573771,0.672131147540984,122
"S003","10514.jpg",0.90956024953935,0.412684643405342,0.51219512195122,0.365853658536585,0.926829268292683,123
"S003","10601.jpg",0.836812265477766,0.301611311865748,0.566371681415929,0.176991150442478,0.831858407079646,113
"S003","10609.jpg",0.798554379472328,0.3727852664312,0.531746031746032,0.515873015873016,0.825396825396825,126
"S003","10624.jpg",0.840053818098829,0.248518046832232,0.09,0.1,0.94,100
"S003","10632.jpg",0.769206682044306,0.301397748690217,0.110091743119266,0.532110091743119,0.724770642201835,109
"S003","10648.jpg",0.680753236363052,0.0949177186699911,0.0388349514563107,0.621359223300971,0.475728155339806,103
"S003","11014.jpg",0.900491986662976,0.0351592219963634,0.13,0.36,0.75,100
"S003","11016.jpg",0.842992211202126,0.246859263767208,0.26271186440678,0.491525423728814,0.584745762711864,118
"S003","11122.jpg",0.884981243927911,0.282138884473679,0.269565217391304,0.226086956521739,0.582608695652174,115
"S003","11126.jpg",0.852168236349194,0.144521386121234,0.291666666666667,0.475,0.758333333333333,120
"S003","11127.jpg",0.871775454317013,0.240756192056114,0.308943089430894,0.390243902439024,0.617886178861789,123
"S003","20127.jpg",0.82167355981856,0.42062540132946,0.222222222222222,0.5,0.936507936507937,126
"S003","20501.jpg",0.88036549981232,0.523439879121549,0.546296296296296,0.472222222222222,0.740740740740741,108
"S003","20714.jpg",0.83019503419056,0.215643334732208,0.233333333333333,0.433333333333333,0.866666666666667,120
"S003","20718.jpg",0.859973627667662,0.565412278521895,0.32183908045977,0.390804597701149,0.517241379310345,87
"S003","21019.jpg",0.860268728884292,0.264124866647191,0.228813559322034,0.322033898305085,0.898305084745763,118
"S003","21022.jpg",0.857852582856895,0.23818522088092,0.0588235294117647,0.34453781512605,0.815126050420168,119
"S003","30201.jpg",0.864324475040396,0.156206968499382,0.14,0.21,0.95,100
"S003","30215.jpg",0.896948247834204,0.135935946076324,0.315789473684211,0.0631578947368421,0.989473684210526,95
