"Participant","MAD","Median","Parameter","Outcome"
"S001",0.0326323689784503,0.557119454434682,"Baseline_resp","Beauty"
"S002",0.02219634851628,0.631146644086225,"Baseline_resp","Beauty"
"S003",0.0183548899847686,0.593172828629457,"Baseline_resp","Beauty"
"S004",0.0282759223803752,0.613362590404231,"Baseline_resp","Beauty"
"S005",0.0318162010988416,0.576562110108455,"Baseline_resp","Beauty"
"S006",0.0152100005123294,0.612275168865166,"Baseline_resp","Beauty"
"S007",0.0272639956821898,0.734125370965005,"Baseline_resp","Beauty"
"S008",0.0508269799584832,0.476350372658592,"Baseline_resp","Beauty"
"S009",0.0311716013165495,0.523368582517151,"Baseline_resp","Beauty"
"S010",0.0331277469644665,0.532925861169016,"Baseline_resp","Beauty"
"S011",0.0473329041357821,0.604217774368426,"Baseline_resp","Beauty"
"S012",0.0241398997174089,0.5204320191181,"Baseline_resp","Beauty"
"S013",0.00432417423251656,0.502259517742806,"Baseline_resp","Beauty"
"S014",0.0127331881198859,0.583278204936857,"Baseline_resp","Beauty"
"S015",0.0256371853980282,0.52974188736709,"Baseline_resp","Beauty"
"S016",0.0327958402998016,0.674615808635382,"Baseline_resp","Beauty"
"S017",0.031352558439647,0.558581002996793,"Baseline_resp","Beauty"
"S018",0.0208939334648942,0.533333796512256,"Baseline_resp","Beauty"
"S019",0.0197481095556848,0.664698582922483,"Baseline_resp","Beauty"
"S020",0.0199826987841754,0.743906333952966,"Baseline_resp","Beauty"
"S021",0.0202588780555546,0.608386502868656,"Baseline_resp","Beauty"
"S022",0.0264217934779857,0.723263986276696,"Baseline_resp","Beauty"
"S023",0.0205114800647413,0.552548023272724,"Baseline_resp","Beauty"
"S024",0.0553955720248162,0.566956970077615,"Baseline_resp","Beauty"
"S025",0.0237555079519385,0.760999558322236,"Baseline_resp","Beauty"
"S026",0.0208788125213352,0.575951958371686,"Baseline_resp","Beauty"
"S027",0.0307258970314353,0.647359341221382,"Baseline_resp","Beauty"
"S028",0.0166514979230394,0.523042079596368,"Baseline_resp","Beauty"
"S029",0.021439210831506,0.564767176336762,"Baseline_resp","Beauty"
"S030",0.0212748650830175,0.568701847593244,"Baseline_resp","Beauty"
"S031",0.0387099950759258,0.742869995081834,"Baseline_resp","Beauty"
"S032",0.0304942997819877,0.521895315541941,"Baseline_resp","Beauty"
"S033",0.0230379898047516,0.494634034790372,"Baseline_resp","Beauty"
"S035",0.0198051416839853,0.378100224978991,"Baseline_resp","Beauty"
"S036",0.039548648494996,0.582502344268854,"Baseline_resp","Beauty"
"S038",0.0180443239038864,0.521806639792385,"Baseline_resp","Beauty"
"S039",0.0305033857282313,0.545762434459806,"Baseline_resp","Beauty"
"S040",0.015955931828958,0.471202362015138,"Baseline_resp","Beauty"
"S041",0.0139883193434802,0.523331565906194,"Baseline_resp","Beauty"
"S042",0.0351348671661922,0.632417857420962,"Baseline_resp","Beauty"
"S043",0.0279256683344581,0.479946886996585,"Baseline_resp","Beauty"
"S044",0.0459477567585744,0.475439282528702,"Baseline_resp","Beauty"
"S045",0.0305164529867583,0.474663438053526,"Baseline_resp","Beauty"
"S046",0.0430819847893121,0.567767266027729,"Baseline_resp","Beauty"
"S047",0.038076062055698,0.517812691941541,"Baseline_resp","Beauty"
"S048",0.0237400649764437,0.438328095615269,"Baseline_resp","Beauty"
"S050",0.0129386181546368,0.482635298060477,"Baseline_resp","Beauty"
"S051",0.0253986804694077,0.57675235561704,"Baseline_resp","Beauty"
"S052",0.0299466306824471,0.557092433827206,"Baseline_resp","Beauty"
"S055",0.0263855963710602,0.556108740282238,"Baseline_resp","Beauty"
"S001",0.0179636094629792,0.0187092933450742,"ForgOri_resp","Beauty"
"S001",0.0337009042601176,-0.0396830563089114,"AIOri_resp","Beauty"
"S001",0.027250170026175,-0.0553149037028458,"AIForg_resp","Beauty"
"S002",0.0176973254277966,-0.0156941933840141,"ForgOri_resp","Beauty"
"S002",0.0251217730748534,-0.0724191126045614,"AIOri_resp","Beauty"
"S002",0.0271748015242324,-0.0632262576147596,"AIForg_resp","Beauty"
"S003",0.0146975467669357,-0.0126362746540026,"ForgOri_resp","Beauty"
"S003",0.0247331750647612,-0.0621610748799341,"AIOri_resp","Beauty"
"S003",0.0287214704545229,-0.048665856119208,"AIForg_resp","Beauty"
"S004",0.0215812864502972,-0.0811336896151905,"ForgOri_resp","Beauty"
"S004",0.033633961054911,-0.109754850595683,"AIOri_resp","Beauty"
"S004",0.0307113008400223,-0.0293255971089835,"AIForg_resp","Beauty"
"S005",0.0252302121007614,-0.122447681980351,"ForgOri_resp","Beauty"
"S005",0.0411607144310343,-0.0747624631007557,"AIOri_resp","Beauty"
"S005",0.0466865513277596,0.0494708886858184,"AIForg_resp","Beauty"
"S006",0.0109512630906924,-0.0273467900428584,"ForgOri_resp","Beauty"
