"Participant","Item","RT","Recognition","PerceivedArtificiality","AnswerCondition","AnswerBelief","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion","Type","Belief"
"S120","31010.jpg",14.766,"No",0.6,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","30412.jpg",9.615,"No",-0.1,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","21022.jpg",13.239,"No",-0.4,"Not recognized","Not recognized","Human Forgery",21,"Blue",1920,953,0.758333333333333,0.833333333333333,0.833333333333333,0.4,28,0.81,0.76,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Warhol, Andy","David Hockney",0.777777777777778,0.708333333333333,0.725,0.511363636363636,0.25,0,0.333333333333333,0.468333333333333,"Positive - High intensity","Old","Human Original"
"S120","10609.jpg",9.977,"No",-0.2,"Not recognized","Not recognized","Human Original",45,"Red",1920,953,0.681666666666667,0.833333333333333,0.166666666666667,0.2,8,0.725,0.735,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Seurat, Georges-Pierre","Chorus in a Night Club (Le Chahut)",0.714285714285714,0.791666666666667,0.75,0.602272727272727,0.583333333333333,0,0.5,0.431666666666667,"Positive - High intensity","Old","Human Original"
"S120","11016.jpg",18.182,"Yes",NA,"AI-Generated","Human Original","AI-Generated",29,"Green",1920,953,0.336666666666667,0.333333333333333,0.833333333333333,0,30,0.715,0.61,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Dix, Otto","The Seven Deadly Sins",0.19047619047619,0.0972222222222222,0.8625,0.840909090909091,0.583333333333333,0,0,0.125,"Negative - High intensity","Old","Human Original"
"S120","10624.jpg",10.48,"No",0.1,"Not recognized","Not recognized","Human Forgery",3,"Blue",1920,953,0.5,0.5,0.5,0.4,12,0.84,0.685,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Ensor, James","The Rower",0.365079365079365,0.236111111111111,0.2375,0.568181818181818,0.583333333333333,0,0.333333333333333,0.376666666666667,"Negative - Low intensity","Old","Human Original"
"S120","21019.jpg",17.67,"Yes",NA,"AI-Generated","AI Original","Human Original",28,"Red",1920,953,0.553333333333333,0.666666666666667,0.666666666666667,0.4,41,0.84,0.775,"Portrait","Realistic tendencies II. (20th century)","Romantic and Realism","Ramos, Mel","Monterey Jackie",0.523809523809524,0.763888888888889,0.7875,0.340909090909091,0,0,0.5,0.483333333333333,"Positive - High intensity","Old","Human Original"
"S120","20719.jpg",9.821,"No",0.2,"Not recognized","Not recognized","New Items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","None"
"S120","20714.jpg",14.004,"Yes",NA,"Human Original","Human Original","Human Forgery",25,"Blue",1920,953,0.333333333333333,0.5,0.666666666666667,0.2,6,0.725,0.28,"Portrait","Expressionistic tendencies","Impressionist and Expressionist","Nolde, Emil","Frau mit roter Kapuze",0.619047619047619,0.125,0.8875,0.545454545454545,0,0,0.5,0.408333333333333,"Negative - High intensity","Old","Human Forgery"
"S120","30622.jpg",13.638,"No",-0.3,"Not recognized","Not recognized","AI-Generated",19,"Green",1920,953,0.606666666666667,0.666666666666667,0.166666666666667,0.2,44,0.775,0.65,"Landscape","Postimpressionistic tendencies","Impressionist and Expressionist","Gauguin, Paul","Apatarao",0.650793650793651,0.763888888888889,0.225,0.568181818181818,0.5,0,0.666666666666667,0.618333333333333,"Positive - Low intensity","Old","Human Original"
