"Item","Participant","Condition","Trial1","CueColor","ScreenWidth","ScreenHeight","Beauty","Valence","Meaning","Worth","Trial2","Reality","Authenticity","Category","Subcategory","Style","Artist","Title","Norms_Liking","Norms_Valence","Norms_Arousal","Norms_Complexity","Norms_Familiarity","ManipulationDistrust","SelfRelevance","Beauty2","Emotion"
"10130.jpg","S222","Human Original",2,"Blue",1920,1080,0.723333333333333,0.666666666666667,0.333333333333333,0.4,41,0.815,0.97,"Scene","Renaissance and Mannerism","Classical","School of Fontainbleau","Charon Crossing the Styx",0.53968253968254,0.680555555555555,0.7625,0.625,0.833333333333333,0,0.5,0.866666666666667,"Positive - High intensity"
"10224.jpg","S222","Human Forgery",8,"Red",1920,1080,0.723333333333333,0.166666666666667,0.833333333333333,0.4,47,0.85,0.91,"Scene","Baroque and Rococo","Classical","Ribera de, Jusepe","Martyrdom of Saint Philip",0.349206349206349,0.0833333333333334,0.7,0.806818181818182,0.333333333333333,0,0.333333333333333,0.255,"Negative - High intensity"
"10226.jpg","S222","Human Original",25,"Blue",1920,1080,0.838333333333333,0.833333333333333,0.666666666666667,0.6,24,0.5,0.5,"Scene","Baroque and Rococo","Classical","Velázquez, Diego","Apollo in the Forge of Vulcan",0.746031746031746,0.708333333333333,0.6125,0.784090909090909,0.5,0,0.333333333333333,0.891666666666667,"Positive - High intensity"
"10229.jpg","S222","AI-Generated",16,"Green",1920,1080,0.725,0.333333333333333,0.166666666666667,0.2,10,0.925,0.94,"Scene","Baroque and Rococo","Classical","Zurbarán de, Francisco","Christ and the Virgin in the House at Nazareth",0.555555555555555,0.361111111111111,0.3375,0.761363636363636,0.333333333333333,0,0.5,0.938333333333333,"Negative - Low intensity"
"10514.jpg","S222","Human Original",1,"Blue",1920,1080,0.758333333333333,0.333333333333333,0.666666666666667,0.4,37,0.855,0.725,"Scene","Impressionistic tendencies","Impressionist and Expressionist","Slevogt, Max","The Dancer Marietta di Rigardo",0.968253968253968,0.861111111111111,0.7,0.761363636363636,0,0,0.833333333333333,0.831666666666667,"Positive - High intensity"
"10601.jpg","S222","AI-Generated",19,"Green",1920,1080,0.72,0.5,0,0,46,0.795,0.285,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Boccioni, Umberto","Riot in the Galleria (A Brawl)",0.73015873015873,0.611111111111111,0.9125,0.761363636363636,0.75,0,0,0.806666666666667,"Positive - High intensity"
"10609.jpg","S222","Human Original",36,"Blue",1920,1080,0.961666666666667,0.833333333333333,0.833333333333333,0.8,9,0.355,0.695,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Seurat, Georges-Pierre","Chorus in a Night Club (Le Chahut)",0.714285714285714,0.791666666666667,0.75,0.602272727272727,0.583333333333333,0,1,0.701666666666667,"Positive - High intensity"
"10624.jpg","S222","AI-Generated",37,"Green",1920,1080,0.655,0.166666666666667,0.833333333333333,0.2,28,0.93,0.955,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Ensor, James","The Rower",0.365079365079365,0.236111111111111,0.2375,0.568181818181818,0.583333333333333,0,0.333333333333333,0.808333333333333,"Negative - Low intensity"
"10632.jpg","S222","Human Forgery",26,"Red",1920,1080,0.768333333333333,0.333333333333333,0.833333333333333,0.4,29,0.935,0.35,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Sérusier, Paul","The Downpour",0.476190476190476,0.333333333333333,0.2875,0.397727272727273,0.0833333333333334,0,0.666666666666667,0.97,"Negative - Low intensity"
"10648.jpg","S222","Human Forgery",23,"Red",1920,1080,0.77,0.166666666666667,0.666666666666667,0.4,8,0.325,0.715,"Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Rousseau, Henri","War",0.301587301587302,0.152777777777778,1,0.75,0.583333333333333,0,0,0.89,"Negative - High intensity"
"11014.jpg","S222","Human Original",4,"Blue",1920,1080,0.313333333333333,0.5,0.666666666666667,0.4,5,0.98,0.93,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Beckmann, Max","The Night",0.174603174603175,0.0555555555555556,0.8625,0.977272727272727,0.75,0,0,0.191666666666667,"Negative - High intensity"
"11016.jpg","S222","AI-Generated",6,"Green",1920,1080,0.188333333333333,0.166666666666667,0.833333333333333,0.4,40,0.795,0.9,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Dix, Otto","The Seven Deadly Sins",0.19047619047619,0.0972222222222222,0.8625,0.840909090909091,0.583333333333333,0,0.5,0.105,"Negative - High intensity"
"11026.jpg","S222","Human Forgery",41,"Red",1920,1080,0.846666666666667,0.333333333333333,0.833333333333333,0.6,44,0.725,0.33,"Scene","Realistic tendencies II. (20th century)","Romantic and Realism","Fischl, Eric","Barbecue",0.634920634920635,0.722222222222222,0.775,0.693181818181818,0.75,0,0.5,0.871666666666667,"Positive - High intensity"
"11122.jpg","S222","AI-Generated",43,"Green",1920,1080,0.741666666666667,0.166666666666667,0.666666666666667,0.2,17,0.295,0.305,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Tooker, George","Subway",0.936507936507937,0.208333333333333,0.85,0.852272727272727,0.416666666666667,0,0.666666666666667,0.223333333333333,"Negative - High intensity"
"11126.jpg","S222","Human Forgery",40,"Red",1920,1080,0.9,0.166666666666667,0.833333333333333,0.6,27,0.275,0.155,"Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Triumph des Einhorns",0.365079365079365,0.152777777777778,1,1,0.25,0,0.333333333333333,0.926666666666667,"Negative - High intensity"
