"Outcome","Emotion","Contrast","Parameter","Unit","Difference","CI_low","CI_high","Difference_pct","CI_low_pct","CI_high_pct","pd","Credible","Effect"
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","confleft","%",0.00688170722083925,-0.0446991074276366,0.0573220708639522,0.688170722083925,-4.46991074276366,5.73220708639522,0.606,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","confright","%",-0.0117327086595919,-0.0471713118746174,0.0243949671787611,-1.17327086595919,-4.71713118746174,2.43949671787611,0.7495,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","mu","%",-0.0103912216271044,-0.105257118030361,0.079201411046167,-1.03912216271044,-10.5257118030361,7.9201411046167,0.58125,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","precleft","raw",0.087231389999999,-0.9814145718325,1.166643480025,NA,NA,NA,0.566,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","precright","raw",-0.0626884324999997,-0.919033024924999,0.755896920374999,NA,NA,NA,0.5575,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Forgery","response","%",-0.00865264723854342,-0.0522685158199097,0.0321249053136428,-0.865264723854342,-5.22685158199097,3.21249053136428,0.66425,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","confleft","%",-0.0181823272511384,-0.0610692689755065,0.0267766990931235,-1.81823272511384,-6.10692689755065,2.67766990931235,0.7925,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","confright","%",-0.00785516789743604,-0.042520573959787,0.0267878835286232,-0.785516789743604,-4.2520573959787,2.67878835286232,0.667,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","mu","%",-0.0418811402841924,-0.137664895914039,0.0501375366123735,-4.18811402841924,-13.7664895914039,5.01375366123735,0.813,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","precleft","raw",0.4668656185,-0.384078012025,1.33040193925,NA,NA,NA,0.8585,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","precright","raw",0.16144461,-0.52130605775,0.86279536975,NA,NA,NA,0.669,FALSE,"n.s."
"Artificiality","Negative - High intensity","AI-Generated - Human Original","response","%",-0.0174010249032965,-0.0611927445412424,0.0247094993217791,-1.74010249032965,-6.11927445412424,2.47094993217791,0.79,FALSE,"n.s."
