"Belief","Parameter","Contrast","Path","Median","CI_low","CI_high","pd"
"Syntheticness","response","AI-Generated - Human Original","Total",-5.89190558681923,-7.36487191100927,-4.38926995383438,1
"Syntheticness","response","AI-Generated - Human Original","Direct",-3.13572841027928,-4.85387727700769,-1.5518064933338,0.99975
"Syntheticness","response","AI-Generated - Human Original","Indirect (joint)",-2.74394657802208,-3.6471132725162,-1.90053945358358,1
"Syntheticness","response","AI-Generated - Human Original","Indirect (joint, exact)",-2.73958951110037,-3.49818200757719,-1.88104761494702,1
"Syntheticness","response","AI-Generated - Human Original","Indirect (Beauty)",-1.12629122870673,-1.67073049619368,-0.632153975434698,1
"Syntheticness","response","AI-Generated - Human Original","Indirect (Valence)",-0.21020095692569,-0.641165278022997,0.231811438353991,0.82975
"Syntheticness","response","AI-Generated - Human Original","Indirect (Meaning)",-0.991342923303992,-1.53431691860988,-0.462783756078463,0.9995
"Syntheticness","response","AI-Generated - Human Original","Indirect (Worth)",-0.41513561520148,-1.35905646547835,0.55070214718014,0.7935
"Syntheticness","response","AI-Generated - Human Original","Mediator (Beauty)",-6.36501977252535,-7.29394064857765,-5.44308546411905,1
"Syntheticness","response","AI-Generated - Human Original","Mediator (Valence)",-6.5568983260327,-7.63994795062589,-5.4893654528327,1
"Syntheticness","response","AI-Generated - Human Original","Mediator (Meaning)",-10.4688342226279,-11.7603395174849,-9.21592026317417,1
"Syntheticness","response","AI-Generated - Human Original","Mediator (Worth)",-12.1049710368913,-13.3701242307419,-10.7878374881969,1
"Syntheticness","response","Human Forgery - Human Original","Total",-1.83138262799743,-3.26551862734064,-0.318616151664808,0.99275
"Syntheticness","response","Human Forgery - Human Original","Direct",-0.0785326606132508,-1.54501046727219,1.35929013842485,0.54
"Syntheticness","response","Human Forgery - Human Original","Indirect (joint)",-1.73900421754095,-2.30596083205108,-1.23274270110354,1
"Syntheticness","response","Human Forgery - Human Original","Indirect (joint, exact)",-1.75204772957365,-2.19194608624911,-1.30613711041865,1
"Syntheticness","response","Human Forgery - Human Original","Indirect (Beauty)",-0.41359522885185,-0.710617399715688,-0.124344294130788,0.99875
"Syntheticness","response","Human Forgery - Human Original","Indirect (Valence)",-0.249111178737245,-0.509888779351641,0.00344397094259647,0.97875
"Syntheticness","response","Human Forgery - Human Original","Indirect (Meaning)",-0.53440788654807,-0.801452718348558,-0.279881466231711,1
"Syntheticness","response","Human Forgery - Human Original","Indirect (Worth)",-0.526921205960385,-1.07727817136046,0.0653525534193542,0.97025
"Syntheticness","response","Human Forgery - Human Original","Mediator (Beauty)",-3.62835865890395,-4.49333384758917,-2.70132648284384,1
"Syntheticness","response","Human Forgery - Human Original","Mediator (Valence)",-3.78027782510965,-4.7927097217257,-2.80921939247012,1
"Syntheticness","response","Human Forgery - Human Original","Mediator (Meaning)",-4.5136642103325,-5.57483282539074,-3.44934506964129,1
"Syntheticness","response","Human Forgery - Human Original","Mediator (Worth)",-7.12982513022067,-8.14349800423283,-6.0697833184624,1
