"Parameter","Level","Median","CI_low","CI_high","pd"
"response","Old",-2.17373027525253,-2.6990347257575,-1.63875571015948,1
"response","New",-2.20270283005553,-2.71795853156653,-1.70503744891359,1
"response","New - Old",-0.0257846244028359,-0.546324138552379,0.461770169289055,0.539
"mu","Old",-3.93882332808981,-5.21403997874637,-2.76370960532535,1
"mu","New",-4.01583560615276,-5.13971400745139,-2.83878881765798,1
"mu","New - Old",-0.0698041899269142,-1.19972928327949,1.1464295425202,0.55
"confright","Old",-1.31129466416222,-1.74014288661578,-0.886053702388367,1
"confright","New",-1.26811890459458,-1.67274900105086,-0.87634038765777,1
"confright","New - Old",0.0434226542049831,-0.437227810455576,0.520906103641583,0.57
"confleft","Old",0.550714428213334,0.00719501439577774,1.1169002001209,0.97425
"confleft","New",0.670507544898696,0.103205356733138,1.1491911876268,0.994
"confleft","New - Old",0.113361379092097,-0.508009023726497,0.782341635764017,0.64225
