"Belief","Parameter","Term","Median","CI_low","CI_high","pd","Type"
"Syntheticness","response","Liking",-1.22776223001015,-5.20419327553617,2.87463412090062,0.7235,"Norm slope (per SD)"
"Syntheticness","response","Valence",3.01841913002482,-1.17524248750677,6.79899546115353,0.9295,"Norm slope (per SD)"
"Syntheticness","response","Arousal",-5.39512307917985,-8.98489345116509,-1.89772913387168,0.99825,"Norm slope (per SD)"
"Syntheticness","response","Complexity",4.02354172124109,-0.245083884730501,7.74347931704156,0.9725,"Norm slope (per SD)"
"Syntheticness","response","Familiarity",1.63079598444759,-1.01806930742601,4.61980635047962,0.878,"Norm slope (per SD)"
"Syntheticness","response","Classical - Abstract and Avant-garde",12.6157114641202,5.26511526469081,19.5676095021745,0.99975,"Style difference"
"Syntheticness","response","Impressionist and Expressionist - Abstract and Avant-garde",11.3217938199034,4.30590450419717,18.0912659975215,0.9995,"Style difference"
"Syntheticness","response","Romantic and Realism - Abstract and Avant-garde",3.62268075523499,-3.32325984641377,10.3007360872416,0.8435,"Style difference"
"Syntheticness","response","Impressionist and Expressionist - Classical",-1.35573833296463,-7.76443093755612,5.08560876277454,0.65975,"Style difference"
"Syntheticness","response","Romantic and Realism - Classical",-8.99804442524483,-15.8999485170444,-2.39948837045013,0.994,"Style difference"
"Syntheticness","response","Romantic and Realism - Impressionist and Expressionist",-7.72405638821323,-14.1764619537439,-0.908766033692732,0.98825,"Style difference"
"Syntheticness","mu","Liking",-2.07940936568786,-8.53153976872714,5.12883576553765,0.7245,"Norm slope (per SD)"
"Syntheticness","mu","Valence",4.60602563755956,-2.31262617629073,11.2418851610336,0.9105,"Norm slope (per SD)"
"Syntheticness","mu","Arousal",-7.9726073531123,-13.7933539158231,-1.88215837480546,0.99525,"Norm slope (per SD)"
"Syntheticness","mu","Complexity",5.71936052886005,-1.14751771256218,12.2592566516194,0.9505,"Norm slope (per SD)"
"Syntheticness","mu","Familiarity",2.61137579094213,-2.01134708248142,7.60757244456706,0.87175,"Norm slope (per SD)"
"Syntheticness","mu","Classical - Abstract and Avant-garde",19.276153415565,7.57108663125683,31.5709485307143,0.99975,"Style difference"
"Syntheticness","mu","Impressionist and Expressionist - Abstract and Avant-garde",17.8262601918049,6.345842630616,29.9730245762336,0.999,"Style difference"
"Syntheticness","mu","Romantic and Realism - Abstract and Avant-garde",5.70306270575948,-6.01997575744541,16.9481722423232,0.82825,"Style difference"
"Syntheticness","mu","Impressionist and Expressionist - Classical",-1.42535243505686,-12.4838120618961,9.43528995161405,0.606,"Style difference"
"Syntheticness","mu","Romantic and Realism - Classical",-13.554763624987,-24.4172837156752,-1.85958735574041,0.99,"Style difference"
"Syntheticness","mu","Romantic and Realism - Impressionist and Expressionist",-12.207340068559,-23.693547942565,-1.16791531866811,0.98375,"Style difference"
"Authenticity","response","Liking",1.14547290908057,-0.352168075912473,2.52356584827733,0.9395,"Norm slope (per SD)"
"Authenticity","response","Valence",0.33991650242251,-1.13264425877208,1.8914050245509,0.68325,"Norm slope (per SD)"
"Authenticity","response","Arousal",-0.585618511210889,-1.83474669186336,0.650643597245637,0.82225,"Norm slope (per SD)"
"Authenticity","response","Complexity",0.256539860232624,-1.04953304592391,1.73737780590069,0.64675,"Norm slope (per SD)"
"Authenticity","response","Familiarity",0.112619157969063,-0.871234070761784,1.10181332290054,0.5875,"Norm slope (per SD)"
"Authenticity","response","Classical - Abstract and Avant-garde",0.665820445958704,-1.7914731790787,3.22897087473558,0.703,"Style difference"
"Authenticity","response","Impressionist and Expressionist - Abstract and Avant-garde",-1.59775728486787,-4.01644267137657,0.783752086026646,0.904,"Style difference"
"Authenticity","response","Romantic and Realism - Abstract and Avant-garde",-1.30021163692065,-3.62786227547371,1.03018074137223,0.85775,"Style difference"
"Authenticity","response","Impressionist and Expressionist - Classical",-2.2896307728882,-4.81613292408268,0.177767074778501,0.9615,"Style difference"
"Authenticity","response","Romantic and Realism - Classical",-1.96157636038573,-4.34646412090685,0.432362106174533,0.947,"Style difference"
"Authenticity","response","Romantic and Realism - Impressionist and Expressionist",0.31545407062824,-2.0967615400439,2.61196684260839,0.606,"Style difference"
"Authenticity","mu","Liking",1.8104314775075,-0.777619790406392,4.30325433081424,0.9175,"Norm slope (per SD)"
"Authenticity","mu","Valence",0.475843833654699,-2.07784925758427,3.2359338519645,0.6455,"Norm slope (per SD)"
"Authenticity","mu","Arousal",-1.12796736446439,-3.45967328706517,0.989211931970757,0.84375,"Norm slope (per SD)"
"Authenticity","mu","Complexity",0.349308886016814,-1.98388031284182,2.99613244314132,0.6145,"Norm slope (per SD)"
"Authenticity","mu","Familiarity",0.0560832329530081,-1.71632999673447,1.77818343800598,0.529,"Norm slope (per SD)"
"Authenticity","mu","Classical - Abstract and Avant-garde",0.176249060020989,-4.1829824931996,4.59444887344066,0.536,"Style difference"
"Authenticity","mu","Impressionist and Expressionist - Abstract and Avant-garde",-3.2659191320035,-7.58228499024732,0.905675368604908,0.9285,"Style difference"
"Authenticity","mu","Romantic and Realism - Abstract and Avant-garde",-2.70062018708869,-6.87232180328332,1.36521782612425,0.89475,"Style difference"
"Authenticity","mu","Impressionist and Expressionist - Classical",-3.45319437682899,-7.91602778812529,1.04601437811543,0.94,"Style difference"
"Authenticity","mu","Romantic and Realism - Classical",-2.87073494091529,-6.95813687316922,1.57567757767497,0.90575,"Style difference"
"Authenticity","mu","Romantic and Realism - Impressionist and Expressionist",0.562047792751547,-3.51664527204985,4.81164909666637,0.601,"Style difference"
