"Contrast","Effect","Median","CI_low","CI_high","pd","Model","Outcome"
"AI-Generated - Human Original","Mediator (a)",-6.36501977252535,-7.29394064857765,-5.44308546411905,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Original","Total",-5.67833911699964,-7.16573026603712,-4.21744686005717,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Original","Direct",-3.96572383790576,-5.54033716165028,-2.61840220074541,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Original","Indirect",-1.69735172747946,-2.15051347064382,-1.25974457348428,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Original","Proportion mediated",29.99805043533,20.2692148628782,40.6346150201917,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"Human Forgery - Human Original","Mediator (a)",-3.62835865890395,-4.49333384758917,-2.70132648284384,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"Human Forgery - Human Original","Total",-1.67272009218332,-3.03259775230046,-0.179539012200813,0.9885,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"Human Forgery - Human Original","Direct",-0.700740982054765,-2.04468645787741,0.716032292661062,0.8355,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"Human Forgery - Human Original","Indirect",-0.972623051434696,-1.2973121262945,-0.652645706750343,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"Human Forgery - Human Original","Proportion mediated",57.8602780229208,23.9558585446143,199.076942559126,0.9885,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Forgery","Mediator (a)",-2.74951734876103,-3.6703617001817,-1.82258440316076,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Forgery","Total",-4.03335147388278,-5.4493436425236,-2.36499024937519,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Forgery","Direct",-3.28632700820727,-4.80798927285124,-1.81875242149578,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Forgery","Indirect",-0.726882862499367,-1.02586807984612,-0.430895092454403,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Forgery","Proportion mediated",18.2832865985338,9.22501062391979,28.5254625876921,1,"RealityBeauty","Syntheticness by Phase-1 Beauty"
"AI-Generated - Human Original","Mediator (a)",-6.36501977252535,-7.29394064857765,-5.44308546411905,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Original","Total",-1.44225994569208,-2.62948576019321,-0.229006905488471,0.98875,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Original","Direct",-0.611274302067688,-1.76205520612274,0.689844504780501,0.834,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Original","Indirect",-0.830563383506366,-1.15957415980416,-0.538183640959078,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Original","Proportion mediated",57.1885604353887,20.1833661769522,212.79847898046,0.98875,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"Human Forgery - Human Original","Mediator (a)",-3.62835865890395,-4.49333384758917,-2.70132648284384,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"Human Forgery - Human Original","Total",-1.98917920611576,-3.27989161555305,-0.798997809872426,0.99975,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"Human Forgery - Human Original","Direct",-1.46249937508407,-2.72269887010279,-0.246144638655899,0.99175,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"Human Forgery - Human Original","Indirect",-0.515890971188532,-0.718614268058559,-0.30044805668662,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"Human Forgery - Human Original","Proportion mediated",26.1935421653943,10.934868997421,56.1060747478907,0.99975,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Forgery","Mediator (a)",-2.74951734876103,-3.6703617001817,-1.82258440316076,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Forgery","Total",0.555420450909072,-0.671644722534093,1.8459417594983,0.79675,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Forgery","Direct",0.917290747714844,-0.41769031191885,2.12249372470785,0.9165,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Forgery","Indirect",-0.354956741189089,-0.54074334260974,-0.199475079595235,1,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Forgery","Proportion mediated",-38.1889666609068,-654.959015755786,624.536745147539,0.79675,"AuthenticityBeauty","Authenticity by Phase-1 Beauty"
"AI-Generated - Human Original","Mediator (a)",-5.89429723502304,-7.01977726574501,-4.88460061443932,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Total",-4.91423671093681,-6.74190506462,-3.09936011397511,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Direct",-3.64602070627721,-5.54441166654953,-1.90379558190539,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Indirect",-1.2681043406678,-1.79419466980302,-0.827695858354893,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"AI-Generated - Human Original","Proportion mediated",25.8145836055525,13.7643678020172,40.1361931037468,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Mediator (a)",-3.69052419354839,-4.81586021505376,-2.62730414746544,1,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Total",-1.37791446979841,-3.19494978110612,0.353585038605886,0.93925,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
"Human Forgery - Human Original","Direct",-0.65903049971322,-2.4031785340061,1.13191397631753,0.768,"RealityBeautyControl","Syntheticness by Phase-1 Beauty, controlling follow-up Beauty"
