"Parameter","At","Level","Median","CI_low","CI_high","pd"
"response",-0.4,"Human Original",0.247124433484014,-0.942012336588749,1.26518576034007,0.6685
"response",-0.4,"Human Forgery",-0.0599023390118192,-1.1827699026673,1.15331396305307,0.54525
"response",-0.4,"AI-Generated",-0.38019497983538,-1.4136570090566,0.778710522439385,0.752
"response",-0.4,"Human Forgery - Human Original",-0.311800452215572,-1.62457005237182,1.07315286746223,0.669
"response",-0.4,"AI-Generated - Human Original",-0.611908762923996,-1.96421545722925,0.628681093128525,0.8205
"response",-0.4,"AI-Generated - Human Forgery",-0.317631074961466,-1.73248607854426,1.15236453763456,0.66925
"mu",-0.4,"Human Original",0.440501472598498,-1.5344216898614,2.20483954896444,0.67675
"mu",-0.4,"Human Forgery",-0.274863821940807,-2.18408999843678,1.74377188128849,0.61225
"mu",-0.4,"AI-Generated",-0.780166856806042,-2.6090396494679,0.965311033765293,0.80475
"mu",-0.4,"Human Forgery - Human Original",-0.713968992940739,-2.93975823050507,1.61219239308952,0.72275
"mu",-0.4,"AI-Generated - Human Original",-1.18301286055994,-3.33547062324258,1.02334222679634,0.855
"mu",-0.4,"AI-Generated - Human Forgery",-0.484107514328036,-2.91241954274335,1.90177773963895,0.66125
"confright",-0.4,"Human Original",-0.807350434388121,-1.69418208642391,0.103576325660937,0.96
"confright",-0.4,"Human Forgery",-0.532069465747464,-1.59382606888314,0.520154873262735,0.842
"confright",-0.4,"AI-Generated",-0.929311315122749,-1.93136228165447,0.00437691021915043,0.96925
"confright",-0.4,"Human Forgery - Human Original",0.264722612240198,-0.846464201239128,1.46312366094248,0.675
"confright",-0.4,"AI-Generated - Human Original",-0.13264237173416,-1.22525303625254,1.01651307467643,0.5895
"confright",-0.4,"AI-Generated - Human Forgery",-0.384831177198119,-1.64151423626302,0.876307841922497,0.72575
"confleft",-0.4,"Human Original",-1.12486940014295,-2.07495281393599,-0.114730481310055,0.98575
"confleft",-0.4,"Human Forgery",-1.19498168293203,-2.43553289292631,0.0135313206751642,0.97075
"confleft",-0.4,"AI-Generated",-1.72323519938405,-2.75864459223507,-0.567245780994985,0.99925
"confleft",-0.4,"Human Forgery - Human Original",-0.0608081801706795,-1.3829206157121,1.28429530558283,0.53725
"confleft",-0.4,"AI-Generated - Human Original",-0.607417471698068,-1.82568044307563,0.628131058866277,0.831
"confleft",-0.4,"AI-Generated - Human Forgery",-0.535660011925232,-2.02432165900079,0.900145188761581,0.759
