"Outcome","Condition","Estimate","CI_low","CI_high","Response"
"Beauty","Human Original",0.548284337708958,0.522586201400865,0.571054126204728,NA
"Beauty","Human Forgery",0.511769698289948,0.4863116800981,0.535818013411336,NA
"Beauty","AI-Generated",0.477757472109471,0.452799156709401,0.501019476114158,NA
"Valence","Human Original",4.13519799224902,3.99280398063654,4.27956514691033,NA
"Valence","Human Forgery",3.92373832000084,3.78235991609842,4.06594545562139,NA
"Valence","AI-Generated",3.76518169760164,3.62512293403717,3.90403245569824,NA
"Meaning","Human Original",2.95488714971119,2.77082764544275,3.13347244999599,NA
"Meaning","Human Forgery",2.69683770558321,2.51882992676157,2.87225658582541,NA
"Meaning","AI-Generated",2.33060418108903,2.15454651696893,2.5019792275352,NA
"Worth","Human Original",0.297517276582168,0.289697230006919,0.306371993767394,"0"
"Worth","Human Forgery",0.392644987126713,0.382806487026803,0.401777954575893,"0"
"Worth","AI-Generated",0.48100959783313,0.470443835737141,0.490149983588815,"0"
"Worth","Human Original",0.233161974563851,0.225759713625074,0.240233098020333,"10"
"Worth","Human Forgery",0.251936687839437,0.244320041626401,0.25940839381813,"10"
"Worth","AI-Generated",0.248744839952838,0.240059623277812,0.25810673213043,"10"
"Worth","Human Original",0.244234385119785,0.236122394611211,0.252492887974046,"100"
"Worth","Human Forgery",0.21413162062445,0.207139198694195,0.220977867769637,"100"
"Worth","AI-Generated",0.172208477744393,0.165841832210602,0.178182886666094,"100"
"Worth","Human Original",0.165001785206819,0.1590504674508,0.171676515969256,"1000"
"Worth","Human Forgery",0.109643878177722,0.103915315665729,0.114846423072403,"1000"
"Worth","AI-Generated",0.0760815294191962,0.0718519126547464,0.0804621192747101,"1000"
"Worth","Human Original",0.0498969870444915,0.0458606245667588,0.0538621292189628,"10000"
"Worth","Human Forgery",0.0267562337018374,0.0243300591314195,0.0294592763074665,"10000"
"Worth","AI-Generated",0.0188305292382605,0.0167501680133023,0.0209535783613764,"10000"
"Worth","Human Original",0.00970911715973931,0.00797459696609319,0.01156256113695,"100000"
"Worth","Human Forgery",0.00509418174761322,0.00424251358231316,0.00628596310916986,"100000"
"Worth","AI-Generated",0.00338773857664907,0.00269752357788244,0.00416264540541678,"100000"
"Entropy","Human Original",0.803226545305024,0.800200444265427,0.806243708666815,NA
"Entropy","Human Forgery",0.804890071632221,0.801654072858503,0.808017757290312,NA
"Entropy","AI-Generated",0.803626648968501,0.800484375298636,0.806853296931147,NA
"pLeft","Human Original",0.502304246620232,0.477779378563138,0.525405185622171,NA
"pLeft","Human Forgery",0.492647345857604,0.468260933393163,0.516063173926115,NA
"pLeft","AI-Generated",0.4989901238002,0.47472383881597,0.522595910200545,NA
"pCenter","Human Original",0.538812501020691,0.523215021677287,0.554421187328895,NA
"pCenter","Human Forgery",0.536966598325658,0.52049492902327,0.553768726052348,NA
"pCenter","AI-Generated",0.540205563489891,0.523479636784173,0.556458361895279,NA
"Shift","Human Original",0.268749546259102,0.260774668058018,0.276806861541273,NA
"Shift","Human Forgery",0.267685191220504,0.258960770853169,0.2763284863496,NA
"Shift","AI-Generated",0.273362019607754,0.264780403607415,0.281808828465732,NA
"Reality","Human Original",0.560774953481256,0.528697757057182,0.590832368446203,NA
"Reality","Human Forgery",0.54634853762884,0.512016039741687,0.577608260434361,NA
"Reality","AI-Generated",0.505708629729907,0.47283856290255,0.53757795115599,NA
"Authenticity","Human Original",0.60518970671491,0.588052505640064,0.621050018790443,NA
"Authenticity","Human Forgery",0.584503995558324,0.567994199347405,0.600710947413249,NA
"Authenticity","AI-Generated",0.590974568310285,0.57346059008175,0.607860227297956,NA
"Beauty2","Human Original",0.505748202116998,0.479315363559568,0.532171561517578,NA
"Beauty2","Human Forgery",0.503203818263267,0.4771511415033,0.528987931131878,NA
"Beauty2","AI-Generated",0.496879648225834,0.470043520637529,0.522490737609918,NA
"SelfRelevance","Human Original",0.365195546506905,0.355572954701182,0.375287072527554,"0"
"SelfRelevance","Human Forgery",0.368613809568541,0.359199238946453,0.37865080307322,"0"
"SelfRelevance","AI-Generated",0.375556686406175,0.367263341785946,0.385836099066572,"0"
"SelfRelevance","Human Original",0.172494892692457,0.165292152645452,0.180043895373148,"1"
"SelfRelevance","Human Forgery",0.1735619085381,0.165349869073621,0.181995187703,"1"
"SelfRelevance","AI-Generated",0.17208873369651,0.164237135392866,0.179442008444167,"1"
"SelfRelevance","Human Original",0.141961078444815,0.135366099512883,0.148933158023517,"2"
"SelfRelevance","Human Forgery",0.141904894670793,0.135719264477084,0.149005925439165,"2"
"SelfRelevance","AI-Generated",0.139461497218782,0.133385558407961,0.14686644427469,"2"
"SelfRelevance","Human Original",0.127835176375176,0.121726196781402,0.134281072191985,"3"
"SelfRelevance","Human Forgery",0.127052507481332,0.120891158691218,0.133328464634385,"3"
"SelfRelevance","AI-Generated",0.125014868382273,0.118936036748354,0.131536473801486,"3"
"SelfRelevance","Human Original",0.114577623164227,0.108678726074488,0.121042786012631,"4"
"SelfRelevance","Human Forgery",0.113129465459981,0.106177952370388,0.119380298582376,"4"
"SelfRelevance","AI-Generated",0.11190238588589,0.105797625063806,0.118289086318473,"4"
"SelfRelevance","Human Original",0.0611985375813801,0.0568272236762478,0.0659800846361881,"5"
"SelfRelevance","Human Forgery",0.0597832038438937,0.0554378770746768,0.0652893161973386,"5"
"SelfRelevance","AI-Generated",0.0597779137469955,0.0556047151034075,0.0650261539148176,"5"
"SelfRelevance","Human Original",0.0161995404005808,0.014135310332989,0.0182820549351045,"6"
"SelfRelevance","Human Forgery",0.0157916499396182,0.0137724996437864,0.0179962433335372,"6"
"SelfRelevance","AI-Generated",0.0158658619030442,0.013879025977074,0.0181365590951917,"6"
"Artificiality","Human Original",0.569666017671413,0.532327740002547,0.604259236182861,NA
"Artificiality","Human Forgery",0.576669797644669,0.543030129015824,0.609266354968075,NA
"Artificiality","AI-Generated",0.573393329602241,0.536531904115857,0.608241452863841,NA
