"Outcome","Emotion","Estimate","CI_low","CI_high","Response"
"Beauty","Positive - Low intensity",0.615643499385544,0.576918384688028,0.64391160860337,NA
"Beauty","Negative - Low intensity",0.483756820252678,0.435212492113431,0.531557563118843,NA
"Beauty","Positive - High intensity",0.574073380499321,0.530741224289164,0.609641254456545,NA
"Beauty","Negative - High intensity",0.377181268337707,0.329123666312886,0.432415353120696,NA
"Valence","Positive - Low intensity",4.61334419828627,4.33594527225472,4.86418091115135,NA
"Valence","Negative - Low intensity",3.82814774146937,3.55324848019599,4.09878781706641,NA
"Valence","Positive - High intensity",4.38700352483618,4.11309064063558,4.63966277498489,NA
"Valence","Negative - High intensity",2.93835885560959,2.66466763716569,3.21329662934598,NA
"Meaning","Positive - Low intensity",2.45172316467601,2.18722109151753,2.7418956481803,NA
"Meaning","Negative - Low intensity",2.43450322033405,2.16657856952531,2.715916073295,NA
"Meaning","Positive - High intensity",2.59965975362061,2.29866732218026,2.90720978292696,NA
"Meaning","Negative - High intensity",3.16126185681858,2.83815137669162,3.4659870489341,NA
"Worth","Positive - Low intensity",0.340453986093637,0.296007925194288,0.38757912248478,"0"
"Worth","Negative - Low intensity",0.424126897055605,0.377005907464219,0.473460547328046,"0"
"Worth","Positive - High intensity",0.34556081213269,0.29898852859096,0.391359471588614,"0"
"Worth","Negative - High intensity",0.449058844111165,0.406731864983686,0.491308078153571,"0"
"Worth","Positive - Low intensity",0.263083444365794,0.254765619571644,0.270862565627266,"10"
"Worth","Negative - Low intensity",0.24207903802847,0.232823515395414,0.25086141563649,"10"
"Worth","Positive - High intensity",0.251759734323683,0.243926362176385,0.260170217838603,"10"
"Worth","Negative - High intensity",0.220961537799207,0.213309391119644,0.229564448688798,"10"
"Worth","Positive - Low intensity",0.231654205064974,0.211939726731036,0.251754169636974,"100"
"Worth","Negative - Low intensity",0.195211477305698,0.17490022742642,0.21481032120086,"100"
"Worth","Positive - High intensity",0.229947361880251,0.210845059984062,0.249456154195392,"100"
"Worth","Negative - High intensity",0.185610776374474,0.167988181333336,0.203247543278125,"100"
"Worth","Positive - Low intensity",0.125575079449561,0.107664555489248,0.146926940661291,"1000"
"Worth","Negative - Low intensity",0.10409254837186,0.0870749052691575,0.124090074378118,"1000"
"Worth","Positive - High intensity",0.130329218426435,0.112726779159995,0.154569059046339,"1000"
"Worth","Negative - High intensity",0.106658180155318,0.0917540519026424,0.12344177463042,"1000"
"Worth","Positive - Low intensity",0.0320501464020977,0.025790716296119,0.0402049665468294,"10000"
"Worth","Negative - Low intensity",0.0275284863798382,0.0218524007965153,0.0351400838755885,"10000"
"Worth","Positive - High intensity",0.0351920539613453,0.028000028613107,0.0451113712057032,"10000"
"Worth","Negative - High intensity",0.0310164732818799,0.0245663715214465,0.0392061773311439,"10000"
"Worth","Positive - Low intensity",0.00610024199607272,0.00475523291221586,0.0082547502381383,"100000"
"Worth","Negative - Low intensity",0.005232400477665,0.00396585679413871,0.00704835024095398,"100000"
"Worth","Positive - High intensity",0.00655940410735795,0.00497905754658244,0.00883273858608532,"100000"
"Worth","Negative - High intensity",0.00602089683550262,0.00447006721120511,0.008330175200393,"100000"
"Reality","Positive - Low intensity",0.587904466024336,0.527541504017393,0.639866897257494,NA
"Reality","Negative - Low intensity",0.558884747451778,0.498688414954962,0.618367668568441,NA
"Reality","Positive - High intensity",0.551274584155075,0.490015756281487,0.611190172845128,NA
"Reality","Negative - High intensity",0.453293162137727,0.391479524967075,0.515674240822864,NA
"Authenticity","Positive - Low intensity",0.61641640240886,0.595644811400961,0.636225179256133,NA
"Authenticity","Negative - Low intensity",0.5749819886908,0.55325607669664,0.595876339206046,NA
"Authenticity","Positive - High intensity",0.595778578474781,0.574361423649706,0.61624881600726,NA
"Authenticity","Negative - High intensity",0.587304298351872,0.56447442657741,0.609612318459288,NA
