"Type","Predictor","Outcome","Effect","Median","CI_low","CI_high","pd"
"joint","Beauty_w","P(recognised)","-2 SD",-0.0212030464789734,-4.05071698240147,4.18828488243889,0.504
"joint","Beauty_w","P(recognised)","-1 SD",-1.41951077444932,-3.0122558698448,0.0642910480236587,0.96475
"joint","Beauty_w","P(recognised)","+1 SD",4.33530348001798,2.55067633101037,6.16244848867638,1
"joint","Beauty_w","P(recognised)","+2 SD",11.9786806086421,6.89083859801416,17.2830519378869,1
"joint","Beauty_w","P(recognised)","Extremity",6.00670644094284,2.24695594601116,9.67888048953965,0.99925
"joint","Beauty_w","P(recognised)","Asymmetry",11.9298982526528,6.06169717622722,17.886681069479,1
"joint","Valence_w","P(recognised)","-2 SD",1.06066614477529,-2.97075045621245,5.93634313470361,0.68375
"joint","Valence_w","P(recognised)","-1 SD",-0.891707115564977,-2.54566421948523,0.704248585046791,0.86175
"joint","Valence_w","P(recognised)","+1 SD",3.83787460166316,2.02214819426993,5.6626497319569,1
"joint","Valence_w","P(recognised)","+2 SD",11.0543043909356,5.7748529174578,16.1813170028188,1
"joint","Valence_w","P(recognised)","Extremity",6.04149710624776,2.49335676754291,10.1139021874366,0.999
"joint","Valence_w","P(recognised)","Asymmetry",9.81116975412364,3.75480026910386,15.9213034721128,0.99925
"unique","Beauty_w","P(recognised)","-2 SD",-1.65272379244887,-6.08972452008573,3.35930900637025,0.755
"unique","Beauty_w","P(recognised)","-1 SD",-1.67630262771572,-3.37349800048603,0.24729788024915,0.96025
"unique","Beauty_w","P(recognised)","+1 SD",3.49853494645326,0.967351347292272,5.7951405258611,0.998
"unique","Beauty_w","P(recognised)","+2 SD",9.10824260198815,2.51884938478297,15.750442969935,0.99675
"unique","Beauty_w","P(recognised)","Extremity",3.73935476512696,-0.657580140556448,7.95051733281749,0.9605
"unique","Beauty_w","P(recognised)","Asymmetry",10.7233605000915,3.19010658317455,18.2821132684608,0.99725
"unique","Valence_w","P(recognised)","-2 SD",3.01907996417963,-2.39968906188666,8.28562666179171,0.871
"unique","Valence_w","P(recognised)","-1 SD",0.535623206188841,-1.35529025630112,2.65070791707794,0.71225
"unique","Valence_w","P(recognised)","+1 SD",1.28323131529357,-0.931821585733609,3.84174266172313,0.8585
"unique","Valence_w","P(recognised)","+2 SD",4.64015480898293,-1.73523508716701,11.5387396775663,0.92175
"unique","Valence_w","P(recognised)","Extremity",3.87583089032965,-0.738191550034017,8.25987008690717,0.961
"unique","Valence_w","P(recognised)","Asymmetry",1.60489410270583,-6.71979232170498,8.98913578929567,0.65275
"joint","Beauty_w","P(Human Original | recognised)","-2 SD",-5.1689571814696,-10.7441484186942,0.142088030988752,0.9695
"joint","Beauty_w","P(Human Original | recognised)","-1 SD",-2.77514114560365,-4.89971266595305,-0.878805551038369,0.99725
"joint","Beauty_w","P(Human Original | recognised)","+1 SD",3.27017119750527,1.00750995639736,5.5379545782264,0.998
