"Model","Predictor","Level1","Response1","Level2","Response2","Median","CI_low","CI_high","pd","Credible"
"MemoryBelief","Belief","AI Copy","AI Copy","AI Original","AI Copy",-0.00438195101492464,-0.0172516405247417,0.00827496440842906,0.747,FALSE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Forgery","AI Copy",0.00597018256321578,-0.00860480666449818,0.0195638012472531,0.79025,FALSE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Original","AI Copy",0.0160342888735958,0.00682918566780354,0.026571931942608,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Forgery","AI Copy",0.0102282843398098,-0.0052631049633877,0.0247550670271891,0.914,FALSE
"MemoryBelief","Belief","AI Original","AI Copy","Human Original","AI Copy",0.0204558480226818,0.0103491658698445,0.0315603130127974,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Original","AI Copy",0.0102010574769893,-0.000860436423526187,0.0234371290943165,0.961,FALSE
"MemoryBelief","Belief","None","AI Copy","AI Copy","AI Copy",-0.0339999827058884,-0.0455161452230811,-0.0240599667526717,1,TRUE
"MemoryBelief","Belief","None","AI Copy","AI Original","AI Copy",-0.0383624867151105,-0.0506355817391449,-0.0275287001391686,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Forgery","AI Copy",-0.0280370277112503,-0.0420998895974458,-0.0170138646030872,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Original","AI Copy",-0.0179346137461218,-0.0250507511904754,-0.0111513283469861,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Copy","AI Original",-0.0802372922914201,-0.103577956757813,-0.0593859151242711,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Original","AI Original",-0.110010907102335,-0.137249671449686,-0.0870368283410608,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Forgery","AI Original",-0.0548630053826191,-0.0777878436030743,-0.034595662899453,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Original","AI Original",-0.0453428316052765,-0.0624514343800145,-0.029989956120597,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","None","AI Original",0.00980287014263284,-0.00387825826834054,0.0227954588212152,0.921,FALSE
"MemoryBelief","Belief","AI Original","AI Copy","AI Copy","AI Original",-0.0759144797755801,-0.0984077557959845,-0.0548662393479004,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","AI Original","AI Original",-0.105705717002678,-0.133442467123238,-0.0817278905524799,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Forgery","AI Original",-0.0506481197593378,-0.0745086004652557,-0.0298940557509031,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Original","AI Original",-0.0410634937598292,-0.0588976123715352,-0.0250382156324635,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","None","AI Original",0.0140186772167111,-7.29613272771905e-06,0.0275965759648763,0.97475,FALSE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Copy","AI Original",-0.0860494499522885,-0.109955069483677,-0.0645008263849949,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Original","AI Original",-0.115998360070459,-0.143706921553264,-0.0919964627130343,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Forgery","AI Original",-0.0607238438312728,-0.0855736415187695,-0.0381538470722108,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Original","AI Original",-0.0512057755798857,-0.0693064539295791,-0.0344155060534947,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","None","AI Original",0.00372124537576301,-0.010529937159163,0.0188088921490743,0.70075,FALSE
"MemoryBelief","Belief","Human Original","AI Copy","AI Copy","AI Original",-0.0963128065772366,-0.118086628531161,-0.0772796320497443,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","AI Original","AI Original",-0.126250961930052,-0.152955320592311,-0.10373840979188,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Forgery","AI Original",-0.0710529598417932,-0.0938017451106094,-0.0523177921665277,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Original","AI Original",-0.061413414988606,-0.0773418865436893,-0.0477756031649607,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","None","AI Original",-0.00629571489431044,-0.0177463471224769,0.00338334399989472,0.89675,FALSE
"MemoryBelief","Belief","None","AI Copy","AI Copy","AI Original",-0.114227344506775,-0.137163847799793,-0.0945707843735199,1,TRUE
"MemoryBelief","Belief","None","AI Copy","AI Original","AI Original",-0.144173653051986,-0.171949912789722,-0.121072967132972,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Forgery","AI Original",-0.0889255038143256,-0.112480348758327,-0.0694161923438327,1,TRUE
"MemoryBelief","Belief","None","AI Copy","Human Original","AI Original",-0.0793598444743415,-0.0957714774572855,-0.0656863340516364,1,TRUE
"MemoryBelief","Belief","None","AI Copy","None","AI Original",-0.0241510982208309,-0.0336912406629199,-0.017166502033108,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Copy","Human Forgery",-0.0277814953229423,-0.0433535254539695,-0.0129247084035418,0.99975,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","AI Original","Human Forgery",-0.013704378532408,-0.0282325291598733,-0.000363189242329242,0.9775,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Forgery","Human Forgery",-0.0395841176660913,-0.0570064915554024,-0.0227858183172223,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","Human Original","Human Forgery",-0.027254671056329,-0.0389305081859563,-0.0155902903056903,1,TRUE
"MemoryBelief","Belief","AI Copy","AI Copy","None","Human Forgery",0.0181438767080135,0.00696889718482241,0.0304353864487864,0.99925,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","AI Copy","Human Forgery",-0.0231535848068552,-0.0385444048513049,-0.00850328486257639,0.99925,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","AI Original","Human Forgery",-0.00941308801585913,-0.0248771064902103,0.00585591128269325,0.8875,FALSE
"MemoryBelief","Belief","AI Original","AI Copy","Human Forgery","Human Forgery",-0.0353998106573886,-0.0531827842451537,-0.0178432899674974,1,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","Human Original","Human Forgery",-0.0229677030125942,-0.0348317996812793,-0.0101887012494386,0.99975,TRUE
"MemoryBelief","Belief","AI Original","AI Copy","None","Human Forgery",0.0225436111193195,0.010657476985901,0.0358084897216812,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Copy","Human Forgery",-0.0337925482503849,-0.0499364074584167,-0.0170724047551365,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","AI Original","Human Forgery",-0.0196193062608555,-0.0355224387331152,-0.0041026731091629,0.99225,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Forgery","Human Forgery",-0.0454510207742451,-0.0644290306817436,-0.0264310898282707,1,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","Human Original","Human Forgery",-0.0331316754511337,-0.0467456999387627,-0.018760989706235,0.99975,TRUE
"MemoryBelief","Belief","Human Forgery","AI Copy","None","Human Forgery",0.0121494324056668,0.000115241456869917,0.0266050476726455,0.9765,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","AI Copy","Human Forgery",-0.0437915527206149,-0.0578295892652362,-0.0312263961529983,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","AI Original","Human Forgery",-0.02983256593155,-0.0428570408010611,-0.01811651407783,1,TRUE
"MemoryBelief","Belief","Human Original","AI Copy","Human Forgery","Human Forgery",-0.0556658977221385,-0.0720798070883237,-0.0402602812925457,1,TRUE
