"Model","Table","Recognition","Contrast","Parameter","Median","CI_low","CI_high","pd","Effect","Effect_type"
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Original","Confidence, beautiful side",-0.667453421855543,-2.21480094242633,0.902477756601442,0.79425,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Original","Confidence, ugly side",0.954674865535013,-1.12307580651493,3.20749954513995,0.80125,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Original","Mean response",-0.80287655708719,-2.40398367421082,0.820315126226842,0.833,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Original","P(beautiful side)",-1.19076812911674,-5.36776727856989,2.90033867700567,0.71325,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","Human Forgery - Human Original","Confidence, beautiful side",-0.686174950625057,-2.21623094075956,0.900656787150114,0.7965,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","Human Forgery - Human Original","Confidence, ugly side",0.844932709995361,-1.33386684537983,2.96638505852024,0.7815,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","Human Forgery - Human Original","Mean response",-0.0205479936621317,-1.67255135089527,1.6575298740489,0.50925,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","Human Forgery - Human Original","P(beautiful side)",0.962552458352395,-3.47571182871494,5.19096419465269,0.65975,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Forgery","Confidence, beautiful side",0.000278351986690573,-1.61942899357498,1.65720029591771,0.5,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Forgery","Confidence, ugly side",0.096775926883394,-2.05576009764827,2.30741335934507,0.533,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Forgery","Mean response",-0.815363958368578,-2.50195624599682,0.936026466298764,0.8165,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","No","AI-Generated - Human Forgery","P(beautiful side)",-2.14572418785739,-6.49852319406117,2.34917149342046,0.824,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","Yes","AI-Generated - Human Original","Confidence, beautiful side",-0.119633451096368,-1.92982647194082,1.66506273769795,0.5525,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","Yes","AI-Generated - Human Original","Confidence, ugly side",-1.16261654449971,-3.81601078547703,1.43281708156389,0.80975,"n.s.",NA
"Beauty2Recognition","Label contrast within recognition","Yes","AI-Generated - Human Original","Mean response",-1.51052720584152,-3.33904036990455,0.230611758678498,0.95675,"n.s.",NA
