"Model","Predictor","Level","Response","Median","CI_low","CI_high"
"MemoryBelief","Belief","AI Copy","AI Copy",0.0455248047216265,0.0367772018016358,0.056130897723659
"MemoryBelief","Belief","AI Copy","AI Original",0.125815418542318,0.106454067360618,0.148414501618249
"MemoryBelief","Belief","AI Copy","Human Forgery",0.0734396258517822,0.0611597581181314,0.0871932036078069
"MemoryBelief","Belief","AI Copy","Human Original",0.136322484595634,0.118733961029289,0.156342825836955
"MemoryBelief","Belief","AI Copy","Not recognized",0.618102378831944,0.576801464718845,0.65498080608902
"MemoryBelief","Belief","AI Original","AI Copy",0.0498959658737405,0.0402532184205732,0.0612369864750846
"MemoryBelief","Belief","AI Original","AI Original",0.155785570770681,0.133275685950637,0.18288768988361
"MemoryBelief","Belief","AI Original","Human Forgery",0.0593022906729897,0.048138927166775,0.0725801135148899
"MemoryBelief","Belief","AI Original","Human Original",0.125086989468477,0.108307708831778,0.144277123981325
"MemoryBelief","Belief","AI Original","Not recognized",0.6092064916285,0.56807260055651,0.648297522310941
"MemoryBelief","Belief","Human Forgery","AI Copy",0.0395885392042064,0.0294653924856919,0.052614790513411
"MemoryBelief","Belief","Human Forgery","AI Original",0.100468653010412,0.0815338717555115,0.12372612126961
"MemoryBelief","Belief","Human Forgery","Human Forgery",0.0851243768491398,0.070551407537049,0.101708586399778
"MemoryBelief","Belief","Human Forgery","Human Original",0.174126495158013,0.151807832006795,0.198462508160395
"MemoryBelief","Belief","Human Forgery","Not recognized",0.599625126426003,0.557020917902055,0.639339826729351
"MemoryBelief","Belief","Human Original","AI Copy",0.0294538749760263,0.0242476049159471,0.035566627112845
"MemoryBelief","Belief","Human Original","AI Original",0.0908223288638519,0.0779433158620588,0.107053787206597
"MemoryBelief","Belief","Human Original","Human Forgery",0.0729845175751289,0.0638527747078328,0.0827466456325279
"MemoryBelief","Belief","Human Original","Human Original",0.205399280601409,0.185868211194116,0.227010600448197
