"Model","Parameter","Predictor","Contrast","Median","CI_low","CI_high","pd","Table"
"RealitySR","response","Beauty","Human Original",2.40952978468809,1.75829643889086,3.15392673160825,1,"Cue"
"RealitySR","response","Beauty","Human Forgery",1.93138871162432,1.22363308605183,2.65479288702269,1,"Cue"
"RealitySR","response","Beauty","AI-Generated",2.11223237484476,1.36524553983258,2.82156628591879,1,"Cue"
"RealitySR","response","Beauty","AI-Generated - Human Original",-0.298269187065464,-1.24528635486054,0.581009473642979,0.744,"Cue"
"RealitySR","response","Beauty","Human Forgery - Human Original",-0.481355362979247,-1.33076759462247,0.434364545392807,0.86075,"Cue"
"RealitySR","response","Beauty","AI-Generated - Human Forgery",0.183005182290252,-0.736828843177245,1.11459786611179,0.644,"Cue"
"RealitySR","response","SR","Human Original",0.477663072288442,-0.110947478669021,1.10992608752231,0.93525,"Cue"
"RealitySR","response","SR","Human Forgery",0.311096506501685,-0.283001317018361,0.975593104937333,0.83575,"Cue"
"RealitySR","response","SR","AI-Generated",0.964593004586872,0.346934728604642,1.56224492429774,0.999,"Cue"
"RealitySR","response","SR","AI-Generated - Human Original",0.474623088674103,-0.347407980861969,1.27720842360401,0.88125,"Cue"
"RealitySR","response","SR","Human Forgery - Human Original",-0.169848163527303,-1.02484002994141,0.628040528351359,0.65325,"Cue"
"RealitySR","response","SR","AI-Generated - Human Forgery",0.647688828708054,-0.230339173033667,1.48759550845812,0.93425,"Cue"
"RealitySR","response","Beauty2","Human Original",1.54459850098551,0.857933813779244,2.27214791867952,1,"Cue"
"RealitySR","response","Beauty2","Human Forgery",1.55928117494777,0.812483081135407,2.2569093306431,1,"Cue"
"RealitySR","response","Beauty2","AI-Generated",1.07828083784453,0.387506206171839,1.78181120540427,0.99875,"Cue"
"RealitySR","response","Beauty2","AI-Generated - Human Original",-0.458786241932255,-1.34906111929503,0.449362352942462,0.83375,"Cue"
"RealitySR","response","Beauty2","Human Forgery - Human Original",0.021677952040472,-0.920098959345472,0.952224961100812,0.516,"Cue"
"RealitySR","response","Beauty2","AI-Generated - Human Forgery",-0.487180317230884,-1.45218141843761,0.431762852384832,0.84175,"Cue"
"RealitySR","response","Total","AI-Generated - Human Original",-5.20815155133306,-7.07327351123438,-3.42887372420617,1,"Decomposition"
"RealitySR","response","Direct","AI-Generated - Human Original",-3.69403837625474,-5.47785207564805,-1.81294310284951,0.999,"Decomposition"
"RealitySR","response","Indirect (joint)","AI-Generated - Human Original",-1.51275003486078,-2.01973326225982,-0.974167898450833,1,"Decomposition"
"RealitySR","response","Indirect (joint, exact)","AI-Generated - Human Original",-1.52375319138567,-1.91486108878417,-1.12695399224521,1,"Decomposition"
"RealitySR","response","Indirect (Beauty)","AI-Generated - Human Original",-1.23251911928044,-1.73331891513579,-0.787169578254797,1,"Decomposition"
"RealitySR","response","Indirect (SR)","AI-Generated - Human Original",-0.0785500682785587,-0.211630246916022,0.0137525116502419,0.9515,"Decomposition"
"RealitySR","response","Indirect (Beauty2)","AI-Generated - Human Original",-0.179030618281155,-0.370163033769528,-0.0340643489073116,0.9985,"Decomposition"
"RealitySR","response","Mediator (Beauty)","AI-Generated - Human Original",-5.89429723502304,-7.01977726574501,-4.88460061443932,1,"Decomposition"
"RealitySR","response","Mediator (SR)","AI-Generated - Human Original",-0.871255760368664,-1.89132104454685,0.168010752688172,0.9525,"Decomposition"
"RealitySR","response","Mediator (Beauty2)","AI-Generated - Human Original",-1.73912730414747,-2.76296082949309,-0.71975806451613,0.99975,"Decomposition"
"RealitySR","response","Total","Human Forgery - Human Original",-1.53700560840578,-3.29507314899825,0.202671619837553,0.95425,"Decomposition"
"RealitySR","response","Direct","Human Forgery - Human Original",-0.637518405296045,-2.27219471768417,1.19430707872302,0.77075,"Decomposition"
"RealitySR","response","Indirect (joint)","Human Forgery - Human Original",-0.88421857501143,-1.3370393201091,-0.464555820820858,1,"Decomposition"
"RealitySR","response","Indirect (joint, exact)","Human Forgery - Human Original",-0.895600108362021,-1.14974352881969,-0.659986260577428,1,"Decomposition"
"RealitySR","response","Indirect (Beauty)","Human Forgery - Human Original",-0.701473694106632,-1.07483193038538,-0.401142229457847,1,"Decomposition"
"RealitySR","response","Indirect (SR)","Human Forgery - Human Original",-0.018806039196762,-0.0998000601190421,0.0381283705713102,0.80025,"Decomposition"
"RealitySR","response","Indirect (Beauty2)","Human Forgery - Human Original",-0.151453064096558,-0.34911720353285,0.0239863367067117,0.969,"Decomposition"
"RealitySR","response","Mediator (Beauty)","Human Forgery - Human Original",-3.69052419354839,-4.81586021505376,-2.62730414746544,1,"Decomposition"
"RealitySR","response","Mediator (SR)","Human Forgery - Human Original",-0.796850998463902,-1.80491551459293,0.230414746543779,0.939,"Decomposition"
"RealitySR","response","Mediator (Beauty2)","Human Forgery - Human Original",-1.02508160522273,-2.10483870967742,0.0147849462365593,0.969,"Decomposition"
"RealitySR","response","Total","AI-Generated - Human Forgery",-3.6728032512399,-5.5525130635328,-1.80685014095227,1,"Decomposition"
"RealitySR","response","Direct","AI-Generated - Human Forgery",-3.1160687120667,-4.9399510586081,-1.20639469602517,0.99925,"Decomposition"
"RealitySR","response","Indirect (joint)","AI-Generated - Human Forgery",-0.544133112098795,-0.970065958736804,-0.123021603726067,0.9965,"Decomposition"
"RealitySR","response","Indirect (joint, exact)","AI-Generated - Human Forgery",-0.552597139443287,-0.696558358476929,-0.397604930444972,1,"Decomposition"
"RealitySR","response","Indirect (Beauty)","AI-Generated - Human Forgery",-0.454531374856244,-0.756730964767465,-0.189721260929541,1,"Decomposition"
"RealitySR","response","Indirect (SR)","AI-Generated - Human Forgery",-0.00671091474994562,-0.118943008646645,0.114710235258521,0.551,"Decomposition"
