"Model","Contrast","Parameter","Difference","CI_low","CI_high","Difference_pct","CI_low_pct","CI_high_pct","pd","Credible","Effect"
"BeautySR","AI-Generated - Human Original","response",-0.0691221061672021,-0.0833501094126554,-0.0547236834306422,-6.91221061672021,-8.33501094126554,-5.47236834306422,1,TRUE,"Negative"
"BeautySR","AI-Generated - Human Original","mu",-0.136158444031062,-0.176392301801055,-0.0960566886259581,-13.6158444031062,-17.6392301801055,-9.60566886259581,1,TRUE,"Negative"
"BeautySR","AI-Generated - Human Original","confright",-0.0601646663095505,-0.0724612813422706,-0.0484823234871193,-6.01646663095505,-7.24612813422706,-4.84823234871193,1,TRUE,"Negative"
"BeautySR","AI-Generated - Human Original","confleft",0.0404604391074288,0.0220237695129939,0.0594048180150827,4.04604391074288,2.20237695129939,5.94048180150827,1,TRUE,"Positive"
"BeautySR","AI-Generated - Human Original","precright",0.789646295,0.464470227,1.1326584575,NA,NA,NA,1,TRUE,"Positive"
"BeautySR","AI-Generated - Human Original","precleft",-0.0152109604999999,-0.2605183505,0.25032337625,NA,NA,NA,0.551,FALSE,"n.s."
"BeautySR","AI-Generated - Human Original","pex",-0.00245597586926312,-0.00702176690565419,0.000661774269185362,-0.245597586926312,-0.702176690565419,0.0661774269185362,0.941,FALSE,"n.s."
"BeautySR","AI-Generated - Human Original","bex",0.0489924315540883,-0.0635335901467746,0.169799034230683,4.89924315540883,-6.35335901467746,16.9799034230683,0.79575,FALSE,"n.s."
"BeautySR","AI-Generated - Human Original","pmid",0.00395128283529645,-0.00274954034126431,0.0112100748279587,0.395128283529645,-0.274954034126431,1.12100748279587,0.88425,FALSE,"n.s."
"BeautySR","Human Forgery - Human Original","response",-0.0345039210579806,-0.047829234578522,-0.0220193166790345,-3.45039210579806,-4.7829234578522,-2.20193166790345,1,TRUE,"Negative"
"BeautySR","Human Forgery - Human Original","mu",-0.0550025804030512,-0.0905090970856001,-0.0208057959064448,-5.50025804030512,-9.05090970856001,-2.08057959064448,0.9985,TRUE,"Negative"
"BeautySR","Human Forgery - Human Original","confright",-0.0430904121592984,-0.0551781091676395,-0.0309621118670979,-4.30904121592984,-5.51781091676395,-3.09621118670979,1,TRUE,"Negative"
"BeautySR","Human Forgery - Human Original","confleft",0.0212917039981459,0.00129149738511643,0.0414291304899737,2.12917039981459,0.129149738511643,4.14291304899737,0.982,TRUE,"Positive"
"BeautySR","Human Forgery - Human Original","precright",0.80336713,0.40800203975,1.24967809,NA,NA,NA,1,TRUE,"Positive"
"BeautySR","Human Forgery - Human Original","precleft",0.25454532,-0.0259389409999999,0.55116326475,NA,NA,NA,0.96375,FALSE,"n.s."
"BeautySR","Human Forgery - Human Original","pex",-0.0023514128519063,-0.00660920084421041,0.00068411226575897,-0.23514128519063,-0.660920084421041,0.068411226575897,0.937,FALSE,"n.s."
"BeautySR","Human Forgery - Human Original","bex",-0.00385926177083262,-0.0992036985416142,0.107910511637743,-0.385926177083262,-9.92036985416142,10.7910511637743,0.52425,FALSE,"n.s."
