"Type","Predictor","Level","Outcome","Effect","Median","CI_low","CI_high","pd","Table","At","Old (hits)","New (false alarms)","New - Old","pd_fmt"
"joint","Beauty2_w","Old","P(recognised)","-2 SD",-10.7224081098552,-14.8727371564214,-6.46856527672997,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(recognised)","-1 SD",-5.8964941720508,-7.71875240524448,-4.05949279885192,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(recognised)","+1 SD",7.03638307820971,4.94210619283447,9.21973548909763,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(recognised)","+2 SD",15.2778891108819,9.91832598178925,21.1283003075694,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(recognised)","Extremity",2.27200316348089,-1.40830595608115,5.70317022279284,0.89825,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(recognised)","Asymmetry",26.0702557103953,19.5421808933205,33.2572010830089,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","-2 SD",-16.4844913793576,-20.8800975387517,-11.9390169982152,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","-1 SD",-8.22910143542242,-10.586664341067,-6.35260868513074,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","+1 SD",7.18119374806846,5.37492367511252,8.88699787432341,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","+2 SD",12.9037565119584,8.71100834044656,16.8391438141269,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","Extremity",-1.80548308567525,-4.66859007921994,1.04727771068727,0.89275,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(recognised)","Asymmetry",29.4563906794497,23.3261647675038,35.7729277093084,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","-2 SD",-3.14651767275012,-7.90908148869929,1.25564109061585,0.905,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","-1 SD",-2.21490292189086,-4.09258011614695,-0.426942332088601,0.99225,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","+1 SD",3.67426383294521,1.53268243040251,5.79050354776115,0.99925,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","+2 SD",9.08447266779109,3.09635693356486,14.5757305320842,0.999,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","Extremity",2.94754664060453,-0.853972348575965,6.85141497939679,0.94175,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(recognised)","Asymmetry",12.1079180871662,4.84908960621992,19.1310734231982,0.99975,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","-2 SD",-14.837070947286,-19.5479025572783,-10.4147917902136,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","-1 SD",-6.99474683942943,-9.12028645559088,-4.95736967257801,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","+1 SD",5.14818180130056,3.56777015495188,6.92828853367824,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","+2 SD",8.09914749493119,4.24569384073398,12.1390799939295,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","Extremity",-3.32962353989922,-6.23336509377853,-0.432635099616185,0.98875,"Probability (pp)",NA,NA,NA,NA,NA
"unique","SR_w","Old","P(recognised)","Asymmetry",22.9183492357154,16.8408511580612,29.2850478884029,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","-2 SD",-2.81536522422402,-8.62615372953093,2.49438449476635,0.8395,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","-1 SD",-2.26410136022292,-4.47775635604253,-0.191730572977541,0.97775,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","+1 SD",3.84168431285096,1.71128229975893,6.11773586107309,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","+2 SD",9.01478731994798,3.49114927235383,14.5401495130846,0.9995,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","Extremity",3.10899821693815,-1.22676095090863,7.11557334188232,0.92075,"Probability (pp)",NA,NA,NA,NA,NA
"joint","Beauty2_w","Old","P(Human Original | recognised)","Asymmetry",11.8572283509751,4.4159919151465,18.9251600139397,0.99925,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","-2 SD",-2.78430407338668,-9.1045233788638,3.47973194366021,0.809,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","-1 SD",-2.40604213976524,-4.94298129866987,-0.114617697454769,0.97575,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","+1 SD",4.35677470582232,2.55664169092843,6.22159902896404,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","+2 SD",10.3555389528662,6.1389670910166,14.4137720064949,1,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","Extremity",3.78860171717229,-0.335494794235089,7.47772691837982,0.96975,"Probability (pp)",NA,NA,NA,NA,NA
"joint","SR_w","Old","P(Human Original | recognised)","Asymmetry",13.2168776240201,5.9395846277769,20.951321132984,1,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","-2 SD",-1.11484995185669,-6.94182640703156,4.31027494538246,0.6495,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","-1 SD",-1.09275620271265,-3.31021624186761,1.04762037810469,0.8355,"Probability (pp)",NA,NA,NA,NA,NA
"unique","Beauty2_w","Old","P(Human Original | recognised)","+1 SD",2.24166882795224,-0.233036937023812,4.62961357517677,0.9595,"Probability (pp)",NA,NA,NA,NA,NA
