"Model","Parameter","Contrast","At","Moderator","Median","CI_low","CI_high","pd","Table"
"BeautySR","response","AI-Generated - Human Original","Low",-0.227550940030373,-6.48188164228029,-8.25342688646727,-4.64973401586386,1,"Gap"
"BeautySR","response","AI-Generated - Human Original","Average",0,-6.91221061672021,-8.31638576693064,-5.45468941476984,1,"Gap"
"BeautySR","response","AI-Generated - Human Original","High",0.227550940030373,-6.34934933362078,-8.1167857113708,-4.69045136498434,1,"Gap"
"BeautySR","response","AI-Generated - Human Original","High - Low",NA,0.1590731954908,-2.30633933463876,2.48738748878264,0.5535,"Gap"
"BeautySR","response","Human Forgery - Human Original","Low",-0.227550940030373,-3.23515367141184,-4.87106275072159,-1.45356493287253,0.99975,"Gap"
"BeautySR","response","Human Forgery - Human Original","Average",0,-3.45039210579806,-4.76174465261992,-2.19372019849198,1,"Gap"
"BeautySR","response","Human Forgery - Human Original","High",0.227550940030373,-3.61962584871012,-5.04047154689142,-2.06927442866015,1,"Gap"
"BeautySR","response","Human Forgery - Human Original","High - Low",NA,-0.382166438353934,-2.5897507708321,1.84170459974504,0.6325,"Gap"
"BeautySR","response","AI-Generated - Human Forgery","Low",-0.227550940030373,-3.2573309541724,-5.12023957907267,-1.54304991678001,1,"Gap"
"BeautySR","response","AI-Generated - Human Forgery","Average",0,-3.4538120318,-4.93233297527652,-2.04810635249176,1,"Gap"
"BeautySR","response","AI-Generated - Human Forgery","High",0.227550940030373,-2.71276406420832,-4.72938103996781,-1.10624781899802,0.9995,"Gap"
"BeautySR","response","AI-Generated - Human Forgery","High - Low",NA,0.524133726009407,-2.0432191143727,2.94194849853363,0.66925,"Gap"
"BeautySR","response","Human Original",NA,NA,3.15099689641057,2.6002822383957,3.63561998475948,1,"SR slope"
"BeautySR","response","Human Forgery",NA,NA,3.0834233266307,2.55393225715261,3.60049729190426,1,"SR slope"
"BeautySR","response","AI-Generated",NA,NA,3.22131746714938,2.73028743664772,3.75688212994446,1,"SR slope"
"BeautySR","response","AI-Generated - Human Original",NA,NA,0.082468666122909,-0.531649808062862,0.639173253661751,0.6075,"SR slope"
"BeautySR","response","Human Forgery - Human Original",NA,NA,-0.0624720130386336,-0.577200465783023,0.491401360275034,0.588,"SR slope"
"BeautySR","response","AI-Generated - Human Forgery",NA,NA,0.140697819864255,-0.517150718097659,0.707212972325788,0.683,"SR slope"
"BeautySR","mu","AI-Generated - Human Original","Low",-0.227550940030373,-14.6576179953023,-19.7794738991314,-9.93668063264015,1,"Gap"
"BeautySR","mu","AI-Generated - Human Original","Average",0,-13.6158444031062,-17.833345723235,-9.80611549903028,1,"Gap"
"BeautySR","mu","AI-Generated - Human Original","High",0.227550940030373,-9.63662925068359,-14.376570060737,-4.83250965710884,1,"Gap"
"BeautySR","mu","AI-Generated - Human Original","High - Low",NA,4.96517504948422,-1.85990414375778,11.6370535749448,0.922,"Gap"
"BeautySR","mu","Human Forgery - Human Original","Low",-0.227550940030373,-6.22677277561715,-10.8742097645652,-1.5249269925585,0.99425,"Gap"
"BeautySR","mu","Human Forgery - Human Original","Average",0,-5.50025804030513,-8.91355110471517,-1.99876559583897,0.9985,"Gap"
"BeautySR","mu","Human Forgery - Human Original","High",0.227550940030373,-3.77939301911999,-7.98694968091064,0.051100077579691,0.97275,"Gap"
"BeautySR","mu","Human Forgery - Human Original","High - Low",NA,2.35546007431901,-4.2471675681762,8.27492403862648,0.782,"Gap"
"BeautySR","mu","AI-Generated - Human Forgery","Low",-0.227550940030373,-8.50689626187222,-13.415706274854,-3.56301744462033,0.99975,"Gap"
"BeautySR","mu","AI-Generated - Human Forgery","Average",0,-8.11242884703108,-12.2968775013854,-3.86900297504104,1,"Gap"
"BeautySR","mu","AI-Generated - Human Forgery","High",0.227550940030373,-5.83165153738425,-10.8183619226106,-0.856808199873316,0.9925,"Gap"
"BeautySR","mu","AI-Generated - Human Forgery","High - Low",NA,2.67488780371901,-4.69894947956038,9.1065527743568,0.77775,"Gap"
"BeautySR","mu","Human Original",NA,NA,7.05556128117418,5.63884509671353,8.65073121142901,1,"SR slope"
"BeautySR","mu","Human Forgery",NA,NA,7.64832364324208,6.18444185627809,9.08433304084322,1,"SR slope"
"BeautySR","mu","AI-Generated",NA,NA,8.32336907680423,6.8621385859492,9.72641904907529,1,"SR slope"
"BeautySR","mu","AI-Generated - Human Original",NA,NA,1.27068421320511,-0.427912626486394,2.95863522247319,0.9245,"SR slope"
"BeautySR","mu","Human Forgery - Human Original",NA,NA,0.59754856005273,-0.904936211365558,2.15106332088799,0.7895,"SR slope"
"BeautySR","mu","AI-Generated - Human Forgery",NA,NA,0.684836128913374,-1.10455946498672,2.35591909588007,0.78125,"SR slope"
"BeautySR","confright","AI-Generated - Human Original","Low",-0.227550940030373,-5.20726269501069,-6.79337433886797,-3.48801535272589,1,"Gap"
"BeautySR","confright","AI-Generated - Human Original","Average",0,-6.01646663095505,-7.24617280936941,-4.84846708447904,1,"Gap"
"BeautySR","confright","AI-Generated - Human Original","High",0.227550940030373,-6.85971354596411,-8.29345873220818,-5.30010318874786,1,"Gap"
"BeautySR","confright","AI-Generated - Human Original","High - Low",NA,-1.65237598426014,-3.72677829743649,0.238241729806787,0.944,"Gap"
"BeautySR","confright","Human Forgery - Human Original","Low",-0.227550940030373,-2.85541161489872,-4.40989531392963,-1.14860332250066,0.999,"Gap"
"BeautySR","confright","Human Forgery - Human Original","Average",0,-4.30904121592984,-5.58149392983752,-3.16313474816768,1,"Gap"
"BeautySR","confright","Human Forgery - Human Original","High",0.227550940030373,-5.89527715177758,-7.51523302168008,-4.44309744025594,1,"Gap"
"BeautySR","confright","Human Forgery - Human Original","High - Low",NA,-2.98482605350062,-5.26938168332362,-0.992364784254584,0.9985,"Gap"
"BeautySR","confright","AI-Generated - Human Forgery","Low",-0.227550940030373,-2.31664670225843,-3.96970188646228,-0.665507324778911,0.99625,"Gap"
"BeautySR","confright","AI-Generated - Human Forgery","Average",0,-1.70261028766765,-2.91836140594329,-0.456437224515449,0.9955,"Gap"
"BeautySR","confright","AI-Generated - Human Forgery","High",0.227550940030373,-0.960511340798006,-2.55905521299819,0.582774889128829,0.88025,"Gap"
"BeautySR","confright","AI-Generated - Human Forgery","High - Low",NA,1.3834279813027,-0.773279578848776,3.50642018571533,0.901,"Gap"
"BeautySR","confright","Human Original",NA,NA,1.87610885445078,1.4316566651314,2.22450557155945,1,"SR slope"
"BeautySR","confright","Human Forgery",NA,NA,1.20706922342925,0.828678441913033,1.58009164433359,1,"SR slope"
"BeautySR","confright","AI-Generated",NA,NA,1.51228702780035,1.12127210983232,1.88248993701884,1,"SR slope"
"BeautySR","confright","AI-Generated - Human Original",NA,NA,-0.365943717090977,-0.786039673917049,0.0889512115157811,0.9445,"SR slope"
"BeautySR","confright","Human Forgery - Human Original",NA,NA,-0.658700110850591,-1.16390930161214,-0.220353540441198,0.9985,"SR slope"
"BeautySR","confright","AI-Generated - Human Forgery",NA,NA,0.304439354893188,-0.170303730957,0.771952577932666,0.901,"SR slope"
"BeautySR","confleft","AI-Generated - Human Original","Low",-0.227550940030373,3.11222353522017,0.845664207609986,5.41217173122989,0.9955,"Gap"
"BeautySR","confleft","AI-Generated - Human Original","Average",0,4.04604391074287,2.09637769910584,5.82052280919448,1,"Gap"
"BeautySR","confleft","AI-Generated - Human Original","High",0.227550940030373,4.98514778285778,2.12209791017296,7.94400093847313,1,"Gap"
"BeautySR","confleft","AI-Generated - Human Original","High - Low",NA,1.89619454199026,-1.781936454244,5.46052593074771,0.83675,"Gap"
"BeautySR","confleft","Human Forgery - Human Original","Low",-0.227550940030373,2.55281758238762,0.20175205078618,5.12257946442914,0.97825,"Gap"
"BeautySR","confleft","Human Forgery - Human Original","Average",0,2.12917039981458,0.225697048353068,4.20310458097941,0.982,"Gap"
"BeautySR","confleft","Human Forgery - Human Original","High",0.227550940030373,1.71168725733781,-1.0845548209236,5.00017865310265,0.86425,"Gap"
"BeautySR","confleft","Human Forgery - Human Original","High - Low",NA,-0.849878825356801,-4.56972050447072,2.95798456650472,0.6745,"Gap"
"BeautySR","confleft","AI-Generated - Human Forgery","Low",-0.227550940030373,0.539083792219255,-1.96798934142949,2.9386763497511,0.66425,"Gap"
"BeautySR","confleft","AI-Generated - Human Forgery","Average",0,1.92566905801521,-0.109856914550555,3.92354035010659,0.96925,"Gap"
"BeautySR","confleft","AI-Generated - Human Forgery","High",0.227550940030373,3.22860020705305,0.0936968778415759,6.62455568019525,0.97525,"Gap"
