Picture_Number;Name_of_the_Artist;Date;Title;Epoch_Style;Category_Name;Width_original;Height_original;Width_unified;Height_unified;Position_Horizontal_Vertical;Subset_Rated_by_Everyone;All_Liking_M;All_Liking_SD;All_Valence_M;All_Valence_SD;All_Arousal_M;All_Arousal_SD;All_Visual_Complexity_M;All_Visual_Complexity_SD;All_Familiarity_M;All_Familiarity_SD;Female_Liking_M;Female_Liking_SD;Female_Valence_M;Female_Valence_SD;Female_Arousal_M;Female_Arousal_SD;Female_Visual_Complexity_M;Female_Visual_Complexity_SD;Female_Familiarity_M;Female_Familiarity_SD;Male_Liking_M;Male_Liking_SD;Male_Valence_M;Male_Valence_SD;Male_Arousal_M;Male_Arousal_SD;Male_Visual_Complexity_M;Male_Visual_Complexity_SD;Male_Familiarity_M;Male_Familiarity_SD;Source
10101;Sarto del, Andrea;1529;Sacrifice of Isaac;Renaissance and Mannerism;Scenes;1132;1600;841;1200;v;0;3,2;1,322;2,7;1,0809;5,15;0,9333;4,7;0,979;2,5;1,96;2,9;1,197;2,9;0,9944;5,1;0,8756;4,6;0,966;2,2;1,398;3,5;1,434;2,5;1,1785;5,2;1,0328;4,8;1,033;2,8;2,44;http://library.artstor.org
10102;Boticelli, Sandro;1484-86;The Birth of Venus;Renaissance and Mannerism;Scenes;2524;1592;1920;1199;h;0;4,1;1,889;4,85;1,1367;3,8;1,5761;4,35;1,663;4,25;2,807;5,1;1,663;5,5;1,1785;4,3;1,6364;4,5;1,581;6,5;1,269;3,1;1,595;4,2;0,6325;3,3;1,4181;4,2;1,814;2;1,944; 
10103;Correggio da, Antonio;1532;Leda and the Swan;Renaissance and Mannerism;Scenes;2008;1600;1503;1200;h;0;3,95;1,572;4,9;0,8522;3,4;1,1425;4,8;1,056;2,3;1,5927;3,9;1,792;4,6;1,075;2,9;0,7379;4,7;0,949;2,8;1,7512;4;1,414;5,2;0,4216;3,9;1,2867;4,9;1,197;1,8;1,3166; 
10104;Correggio da, Antonio;1532-33;Jupiter and Io;Renaissance and Mannerism;Scenes;690;1600;518;1200;v;0;3,75;1,372;3,9;1,0208;4,05;1,2344;4,85;1,309;1,8;1,3219;4;1,414;3,9;1,1972;4,3;1,1595;4,8;1,687;2,4;1,6465;3,5;1,354;3,9;0,8756;3,8;1,3166;4,9;0,876;1,2;0,4216; 
10105;Vinci da, Leonardo;1494-98;Last Supper;Renaissance and Mannerism;Scenes;2065;1123;1920;1044;h;0;5;1,376;4,8;0,9515;4,35;1,1821;5,55;1,099;7;0;4,91;1,375;4,636;1,0269;4,364;1,206;5,64;0,809;7;0;5,11;1,453;5;0,866;4,333;1,2247;5,44;1,424;7;0; 
10106;Giorgione;before 1507;The Thunderstorm;Renaissance and Mannerism;Scenes;1448;1600;1082;1200;v;0;3,55;1,538;3,75;0,9665;3,6;1,0954;5;1,338;1,6;1,3917;3,2;1,398;3,2;0,9189;3,3;1,0593;5,3;1,337;2;1,8856;3,9;1,663;4,3;0,6749;3,9;1,1005;4,7;1,337;1,2;0,4216;http://www.villaggioglobaleinternational.it/sala_stampa/altadef.asp?id=60
10107;Raphael;1504;Saint George and the Dragon;Renaissance and Mannerism;Scenes;3344;3858;1029;1200;v;0;3,25;1,618;3,2;1,0052;5;0,7255;4,1;1,119;1,3;0,8013;3,5;1,509;3,1;0,7379;5,3;0,8233;4,4;1,174;1,4;0,9661;3;1,764;3,3;1,2517;4,7;0,483;3,8;1,033;1,2;0,6325;http://library.artstor.org
10108;Raphael;1511;Madonna dell'Impannata - Sacra Conversazione;Renaissance and Mannerism;Scenes;1270;1600;952;1200;v;0;3,05;1,191;3,9;0,9119;3,35;0,9881;4,25;1,372;1,75;1,4096;3,3;1,418;3,7;1,0593;3,5;1,0801;4,3;1,494;1,6;1,3499;2,8;0,919;4,1;0,7379;3,2;0,9189;4,2;1,317;1,9;1,5239;http://library.artstor.org
10109;Raphael;1512-13;Sistine Madonna;Renaissance and Mannerism;Scenes;1179;1600;884;1200;v;0;3,35;1,725;4;1,1698;3;1,1698;4,1;1,553;4,8;2,4409;3,78;1,922;4,333;1,4142;2,889;1,1667;4,67;1,5;4,778;2,5874;3;1,549;3,727;0,9045;3,091;1,221;3,64;1,502;4,818;2,4421;http://library.artstor.org
10110;Raphael;1517;Christ Falling on the Way to Calvary (Lo Spasimo di Sicilia);Renaissance and Mannerism;Scenes;1149;1600;862;1200;v;0;3,38;1,445;3,008;1,033;4,558;1,1581;4,96;1,362;3,092;2,2229;3,45;1,545;2,933;1,1179;4,817;1,1122;4,98;1,535;3,683;2,1978;3,32;1,347;3,083;0,9441;4,3;1,1542;4,93;1,177;2,5;2,1033;http://library.artstor.org
