"Item","Category","Subcategory","Style","Artist","Title","Date","Width","Height","Liking_Mean_All","Valence_Mean_All","Arousal_Mean_All","Complexity_Mean_All","Familarity_Mean_All"
"11117.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Blume, Peter","The Eternal City",1934,1693,1200,4.5,3.4,5.3,5.75,1.65
"11122.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Tooker, George","Subway",1950,1920,974,5.25,2.65,5.2,4.85,1.3
"11125.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Psalm 69",1957,861,1200,4.5,3.55,5.7,5.4,1
"21107.jpg","Portrait","Surrealistic tendencies","Abstract and Avant-garde","Magritte, René","Rape (La Violazione)",1945,859,1200,4,4.35,4.9,3.6,1.35
"40810.jpg","Still Life","Cubistic tendencies","Abstract and Avant-garde","Braque, Georges","Still Life with Grapes and Clarinet",1927,1623,1200,2.683,3.55,3.492,3.68,1.567
"50908.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Malewitsch, Kasimir","Black Square, Blue Triangle",1915,1030,1200,4.55,4.55,2.75,1.4,1.6
"50925.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Steps",1931,1551,1200,4.15,4.5,3.5,2.4,1.45
"50938.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Anuszkiewicz, Richard","Convexity",1966,1209,1200,2.8,3.3,5.05,3.95,1.3
"50940.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Riley, Bridget","Praise I 1",NA,1043,1200,2.1,3,5.5,2.85,1.45
"51002.jpg","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","Lake George, Coat and Red",1919,1028,1200,4.1,4.45,3.35,3,1.2
"51003.jpg","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","Abstraction Blue",1927,897,1200,4.7,4.7,2.675,2.64,1.217
"51004.jpg","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","White Bird of Paradise",1939,1011,1200,4.4,4.4,3.3,3.85,1.1
"51013.jpg","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","Villeglé de la, Jacques","Dr Feel Good - Clermont Ferrand (Décollage)",2000,946,1200,4.35,4.25,5,4.8,1.35
"51204.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Götz, Karl Otto","Giverny VII",1988,1570,1200,4.4,4.55,5.45,4.2,1.55
"51217.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Mathieu, Georges","Rêve de flamme",1990,1556,1200,4.35,4.45,5.15,4.15,1.4
"51219.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Poliakoff, Serge","Composition rouge et bleue",NA,950,1200,2.9,3.45,2.9,1.35,1.25
"51221.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Soulages, Pierre","Painting, 195 x 130 cm, May 1953",1953,791,1200,4,3.15,3.35,2.9,1.2
"51315.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Tobey, Mark","Advance of History",1964,922,1200,2.75,3.55,5.25,4.9,1.2
"51322.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square, Decided",1951,1196,1200,2.55,3.45,2.7,1.2,1.4
"51323.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Newman, Barnett","Two Edges",1948,894,1200,4.05,4.7,2.5,1.7,1.15
"10217.jpg","Scene","Baroque and Rococo","Classical","Brugghen ter, Hendrick","David Praised by the Israelite Women",1623,1562,1200,2.95,2.85,4.7,4.5,1.4
"20124.jpg","Portrait","Renaissance and Mannerism","Classical","Massys, Quinten","An Old Woman ('The Ugly Duchess')",1513,912,1200,2.9,3.1,4.7,4.2,1.25
"30201.jpg","Landscape","Baroque and Rococo","Classical","Carracci, Annibale","River Landscape",1590,1920,1132,5.45,5.05,2.7,4.55,1.6
"30211.jpg","Landscape","Baroque and Rococo","Classical","Goyen van, Jan","Landscape with Dunes",1630,1765,1200,4.75,4.8,2.8,3.65,1.5
